"","Species","Linear.B","Quad.B","Linear.t","Quad.t","Linear.p","Quad.p","siteLaCueva","siteLaCaoba","siteMorelia","siteEl.Corral","siteAceitillar"
"1","OVEN",0.918594496429648,-2.2185745252819,1.14718408611591,-2.59136486314801,0.25130554725002,0.00955960783491938,10.3350090545619,18.6914552915529,26.6978165950766,19.2031986735493,16.1404594287346
"2","BAWW",3.67079837281107,0.0414459475537559,290.338612472538,2.77000647569654,0,0.00560551781719365,1.21620038151442,1.93153818391845,2.35344117221877,3.85843145370913,5.39330683032127
"3","COYE",-5.10261059814077,-3.31481036237231,-1.36402292803954,-2.51061454373944,0.172560349634781,0.0120521215130676,3.01568339739555,17.3612788832769,4.21678774462975,NA,0.882213827523071
"4","AMRE",-1.7913694902123,1.16429484268323,-1.6762465512811,0.981573350760551,0.0936899093931705,0.326310081609489,8.40611279198846,10.5863549082539,4.48345598724991,3.59553201550978,5.88973717854181
"5","CMWA",-2.50823723148299,2.08217710931122,-2.64526938275701,1.91509883658926,0.00816259059213076,0.0554799001757651,16.7627033693313,27.8558619082608,8.70053656568075,3.25346601262196,13.994984721842
"6","BTBW",-1.58312107985284,-2.87773447011573,-1.3379715015693,-2.31100380031819,0.180905726939766,0.0208326449829861,8.06906050430069,13.2022189584257,12.5793875650571,9.88799349326894,4.22495392374799
"7","PAWA",-3.76965761596335,2.8618234016005,-1.30829312971684,0.899960213750476,0.19077390450952,0.368141424140891,6.17421826577582,0.98833385113122,1.13725851827831,1.21701785992158,0.844918048033779
"8","PRAW",-4.88188334892837,1.57244240043684,-2.67519877368709,0.811035566742905,0.00746849547208739,0.417345246055304,6.47466567033611,4.96891867901902,2.04910933612059,0.811578502986972,1.39506847566447
