# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,mass,site.age
AMRE,HY,M,Morelia,28-Nov-06,57.5,17.2,7.3,10
AMRE,HY,M,Aceitillar,111696,61,17.4,7.6,50
AMRE,AHY,M,Aceitillar,111996,62,18.5,7.8,50
AMRE,HY,M,Aceitillar,16-Jan-94,61.5,20,7.2,50
AMRE,HY,M,Aceitillar,112096,60.5,20.9,8.1,50
AMRE,AHY,M,Aceitillar,10-Nov-93,64.5,,8.9,50
AMRE,HY,M,Aceitillar,3-Mar-94,61.5,19.6,7.2,50
AMRE,HY,M,Aceitillar,1/27/1995,59.5,,6.9,50
AMRE,HY,M,Aceitillar,1/28/1995,60,,6.4,50
AMRE,AHY,M,Aceitillar,1/23/1996,60.5,17.8,7.1,50
AMRE,HY,M,Aceitillar,1/24/1996,58,18.8,6.3,50
AMRE,HY,M,Aceitillar,31-Jan-97,62.5,,6.6,50
AMRE,HY,M,Aceitillar,1/17/1995,61,,7.3,50
AMRE,HY,M,Aceitillar,30597,61,18.4,7.3,50
AMRE,AHY,,Caoba,7-Jan-04,62.5,17.5,6.4,5
AMRE,HY,,Caoba,26-Nov-06,58,16.6,6.7,5
AMRE,HY,,Caoba,14-Nov-04,60,17.2,7.2,5
AMRE,HY,,Caoba,12-Nov-04,59.5,17.3,7.3,5
AMRE,HY,,Corral,20-Jan-05,58.5,17.4,6.9,10
AMRE,HY,,Corral,17-Feb-05,57.5,16.3,6.6,10
AMRE,HY,,Corral,20-Nov-04,62,16.9,7.5,10
AMRE,AHY,,Corral,26-Feb-04,61,15.9,7.4,10
AMRE,HY,,Cueva,9-Jan-07,57.5,17.2,6.7,2
AMRE,HY,,Cueva,5-Jan-05,58,16.9,6.9,2
AMRE,HY,,Cueva,4-Feb-05,57.5,16.1,7,2
AMRE,HY,,Cueva,9-Nov-04,60.5,17,7.4,2
AMRE,HY,,Morelia,16-Nov-04,59.5,17.3,6.6,10
AMRE,HY,,Morelia,16-Nov-04,58.5,16.4,7.3,10
BANA,AHY,M,Caoba,13-Jan-07,50,16.3,8.7,5yr
BANA,HY,,Caoba,14-Nov-04,55,15.7,6.3,5yr
BANA,HY,,Caoba,13-Nov-04,50.5,15.2,6.2,5yr
BANA,AHY,,Caoba,16-Nov-04,52.5,16.4,6.9,5yr
BANA,AHY,,Caoba,16-Nov-04,49.5,15.2,6.4,5yr
BANA,HY,,Caoba,16-Nov-04,51,15,6.5,5yr
BANA,AHY,,Caoba,13-Nov-04,50.5,15.6,6.8,5yr
BANA,HY,,Caoba,15-Nov-04,54.5,15.8,6.9,5yr
BANA,AHY,,Caoba,13-Nov-04,49.5,15.1,6.6,5yr
BANA,AHY,,Caoba,17-Dec-05,52.5,15.1,6.6,5yr
BANA,AHY,,Caoba,15-Nov-04,51.5,14.4,6.3,5yr
BANA,AHY,,Caoba,9-Feb-05,49,15.5,6.8,5yr
BANA,HY,,Caoba,13-Nov-04,50,15.3,6.8,5yr
BANA,AHY,,Caoba,10-Jan-05,50,16.3,7.3,5yr
BANA,AHY,,Caoba,11-Jan-05,51,15.4,6.9,5yr
BANA,AHY,,Caoba,12-Jan-05,50,14.7,6.6,5yr
BANA,HY,,Caoba,12-Nov-04,52.5,15.8,7.1,5yr
BANA,AHY,,Caoba,13-Nov-04,52.5,15.8,7.1,5yr
BANA,HY,,Caoba,13-Nov-04,50.5,14.8,6.7,5yr
BANA,AHY,,Caoba,15-Jan-07,51.5,14.7,6.7,5yr
BANA,HY,,Caoba,13-Nov-04,53,15.3,7,5yr
BANA,AHY,,Caoba,18-Nov-05,50.5,15.3,7.1,5yr
BANA,AHY,,Caoba,16-Nov-04,53,15.9,7.4,5yr
BANA,AHY,,Caoba,13-Nov-04,53,16.3,7.6,5yr
BANA,HY,,Caoba,6-Jan-04,53.5,15.8,7.4,5yr
BANA,HY,,Caoba,7-Jan-04,51.5,15.8,7.4,5yr
BANA,AHY,,Caoba,15-Nov-04,55.5,16,7.5,5yr
BANA,AHY,,Caoba,12-Feb-05,50.5,14.9,7,5yr
BANA,HY,,Caoba,12-Nov-03,52,15.4,7.3,5yr
BANA,AHY,,Caoba,13-Nov-04,52,15.1,7.2,5yr
BANA,AHY,,Caoba,14-Nov-04,56.5,15.9,7.6,5yr
BANA,HY,,Caoba,9-Jan-05,53.5,15.9,7.6,5yr
BANA,HY,,Caoba,17-Feb-06,51,15.5,7.5,5yr
BANA,HY,,Caoba,13-Nov-04,52,15.7,7.6,5yr
BANA,AHY,,Caoba,9-Jan-05,54,16.3,7.9,5yr
BANA,AHY,,Caoba,13-Nov-04,52,15.6,7.6,5yr
BANA,AHY,,Caoba,10-Jan-05,50.5,14.9,7.3,5yr
BANA,AHY,,Caoba,13-Nov-04,53,15.1,7.4,5yr
BANA,AHY,,Caoba,12-Nov-03,52,15.3,7.5,5yr
BANA,HY,,Caoba,6-Jan-04,52.5,15.5,7.6,5yr
BANA,AHY,,Caoba,14-Jan-07,52.5,15.5,7.6,5yr
BANA,AHY,,Caoba,16-Nov-04,55.7,15.9,7.8,5yr
BANA,HY,,Caoba,12-Jan-05,56,16.1,7.9,5yr
BANA,HY,,Caoba,15-Nov-05,49,14.6,7.2,5yr
BANA,AHY,,Caoba,21-Feb-04,50.5,15,7.4,5yr
BANA,HY,,Caoba,9-Feb-05,54.5,15.2,7.5,5yr
BANA,AHY,,Caoba,10-Jan-05,49.5,15.1,7.5,5yr
BANA,AHY,,Caoba,13-Nov-04,52,15,7.5,5yr
BANA,AHY,,Caoba,17-Dec-05,49.5,14.6,7.3,5yr
BANA,HY,,Caoba,12-Nov-04,51.5,15.8,8,5yr
BANA,AHY,,Caoba,18-Dec-05,53,15.8,8,5yr
BANA,HY,,Caoba,14-Jan-07,54,16.3,8.3,5yr
BANA,AHY,,Caoba,17-Dec-05,53.5,15.9,8.1,5yr
BANA,AHY,,Caoba,17-Nov-05,57.5,15.7,8,5yr
BANA,HY,,Caoba,8-Jan-05,51,14.7,7.5,5yr
BANA,AHY,,Caoba,13-Nov-04,54.5,14.8,7.6,5yr
BANA,AHY,,Caoba,15-Feb-06,51,14,7.2,5yr
BANA,AHY,,Caoba,12-Jan-05,54,16.1,8.3,5yr
BANA,AHY,,Caoba,12-Nov-04,52,15.2,7.9,5yr
BANA,AHY,,Caoba,14-Jan-07,49,14.2,7.4,5yr
