# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,mass,site.age
BANA,HY,,Corral,24-Nov-04,57,16.4,7.7,20yr
BANA,AHY,,Corral,19-Jan-05,49.5,14.9,7,20yr
BANA,HY,,Corral,23-Feb-06,51.5,15.5,7.5,20yr
BANA,AHY,,Corral,2-Dec-06,50,14.9,7.3,20yr
BANA,AHY,,Corral,10-Jan-04,50.5,15.6,7.7,20yr
BANA,AHY,,Corral,5-Dec-06,51.5,15.7,7.8,20yr
BANA,AHY,,Corral,20-Nov-04,57,16.3,8.1,20yr
BANA,AHY,,Corral,19-Feb-05,53,16.2,8.4,20yr
BANA,AHY,,Corral,23-Jan-06,50,15.3,8,20yr
BANA,HY,,Corral,22-Nov-04,51.5,15.4,8.1,20yr
BANA,AHY,,Cueva,4-Jan-05,48,14.3,5.7,2yr
BANA,AHY,,Cueva,6-Jan-05,49,14.6,6,2yr
BANA,HY,,Cueva,7-Feb-05,50.5,15.9,6.6,2yr
BANA,AHY,,Cueva,7-Jan-05,50.5,15.3,6.4,2yr
BANA,HY,,Cueva,11-Dec-05,55.5,16.2,6.8,2yr
BANA,HY,,Cueva,10-Nov-04,52.5,15.7,6.6,2yr
BANA,HY,,Cueva,8-Nov-04,49,14.7,6.2,2yr
BANA,AHY,,Cueva,11-Nov-04,55,14.8,6.3,2yr
BANA,AHY,,Cueva,12-Nov-04,54.5,15,6.4,2yr
BANA,AHY,,Cueva,11-Dec-05,55.5,14.7,6.3,2yr
BANA,AHY,,Cueva,8-Jan-07,53,14.9,6.4,2yr
BANA,AHY,,Cueva,12-Dec-05,51,14.9,6.5,2yr
BANA,HY,,Cueva,13-Dec-05,51.5,14.6,6.4,2yr
BANA,AHY,,Cueva,12-Dec-05,56.5,15.9,7,2yr
BANA,AHY,,Cueva,8-Jan-07,50.5,15.9,7,2yr
BANA,AHY,,Cueva,10-Jan-06,49.5,14.7,6.5,2yr
BANA,AHY,,Cueva,8-Nov-04,55.5,15.3,6.8,2yr
BANA,AHY,,Cueva,9-Nov-04,50.5,14.6,6.5,2yr
BANA,AHY,,Cueva,5-Feb-05,52.5,15.8,7.1,2yr
BANA,AHY,,Cueva,11-Nov-04,51.5,15.3,6.9,2yr
BANA,HY,,Cueva,11-Feb-06,52.5,15.3,6.9,2yr
BANA,AHY,,Cueva,12-Nov-04,51,14.8,6.7,2yr
BANA,HY,,Cueva,21-Nov-06,50,15.6,7.1,2yr
BANA,AHY,,Cueva,12-Jan-06,52,14.2,6.5,2yr
BANA,HY,,Cueva,9-Jan-07,52.5,15.4,7.1,2yr
BANA,AHY,,Cueva,12-Nov-04,54,15.8,7.3,2yr
BANA,HY,,Cueva,6-Jan-05,51,14.9,6.9,2yr
BANA,HY,,Cueva,18-Feb-07,51.5,15.5,7.2,2yr
BANA,AHY,,Cueva,5-Jan-05,57,17.4,8.1,2yr
BANA,AHY,,Cueva,10-Nov-04,49,16.1,7.5,2yr
BANA,AHY,,Cueva,11-Nov-04,55.5,16.5,7.7,2yr
BANA,AHY,,Cueva,8-Nov-04,55,15.8,7.4,2yr
BANA,HY,,Cueva,12-Nov-04,50.5,15.5,7.3,2yr
BANA,HY,,Cueva,4-Jan-04,52,16.3,7.7,2yr
BANA,AHY,,Cueva,7-Jan-05,55,16.3,7.7,2yr
BANA,AHY,,Cueva,7-Jan-05,54.5,15,7.1,2yr
BANA,AHY,,Cueva,21-Nov-06,52.5,15.2,7.2,2yr
BANA,AHY,,Cueva,5-Feb-05,49.5,15.4,7.3,2yr
BANA,HY,,Cueva,7-Feb-05,54,16.2,7.7,2yr
BANA,HY,,Cueva,15-Feb-07,48.5,14.5,6.9,2yr
BANA,AHY,,Cueva,11-Nov-04,52.5,14.7,7,2yr
BANA,AHY,,Cueva,7-Jan-05,53,15.1,7.2,2yr
BANA,HY,,Cueva,8-Jan-07,51.5,15.1,7.2,2yr
BANA,AHY,,Cueva,10-Nov-04,50.5,15.7,7.5,2yr
BANA,AHY,,Cueva,3-Feb-05,57.5,16.1,7.7,2yr
BANA,HY,,Cueva,4-Jan-04,53.5,16.3,7.8,2yr
BANA,AHY,,Cueva,3-Feb-05,51.5,15.6,7.5,2yr
BANA,HY,,Cueva,4-Jan-05,54,16.2,7.8,2yr
BANA,HY,,Cueva,9-Jan-07,57.5,16.4,7.9,2yr
BANA,AHY,,Cueva,9-Nov-04,49,14.9,7.2,2yr
BANA,HY,,Cueva,11-Nov-04,50.5,15.1,7.3,2yr
BANA,AHY,,Cueva,5-Jan-04,51.5,15.3,7.4,2yr
BANA,AHY,,Cueva,6-Jan-05,50,15.5,7.5,2yr
BANA,AHY,,Cueva,10-Nov-04,51,15,7.3,2yr
BANA,HY,,Cueva,23-Nov-06,50,15.6,7.6,2yr
BANA,HY,,Cueva,12-Nov-04,50,16,7.8,2yr
BANA,HY,,Cueva,11-Nov-05,50.5,16,7.8,2yr
BANA,AHY,,Cueva,7-Feb-05,49.5,15.1,7.4,2yr
BANA,AHY,,Cueva,10-Nov-04,57,15.3,7.5,2yr
BANA,AHY,,Cueva,7-Feb-05,53,15.3,7.5,2yr
BANA,AHY,,Cueva,16-Feb-07,50.5,15.3,7.5,2yr
BANA,AHY,,Cueva,3-Jan-04,53.5,16.1,7.9,2yr
BANA,AHY,,Cueva,9-Nov-04,54,16.1,7.9,2yr
BANA,AHY,,Cueva,9-Jan-07,51,15.2,7.5,2yr
BANA,AHY,,Cueva,5-Jan-05,52.5,15.6,7.7,2yr
BANA,AHY,,Cueva,22-Nov-06,51,16,7.9,2yr
BANA,AHY,,Cueva,7-Jan-05,52,14.7,7.3,2yr
BANA,HY,,Cueva,13-Dec-05,52,15.1,7.5,2yr
BANA,AHY,,Cueva,9-Nov-03,50,15.7,7.8,2yr
BANA,AHY,,Cueva,9-Nov-04,52.5,15.6,7.8,2yr
BANA,AHY,,Cueva,11-Nov-04,53.5,16,8,2yr
BANA,HY,,Cueva,23-Nov-06,54,16,8,2yr
BANA,AHY,,Cueva,9-Jan-07,49,15.6,7.8,2yr
BANA,AHY,,Cueva,10-Nov-05,54,15.7,7.9,2yr
BANA,HY,,Cueva,13-Nov-05,52,15.7,7.9,2yr
BANA,AHY,,Cueva,14-Feb-07,53,15.5,7.8,2yr
BANA,AHY,,Cueva,12-Feb-06,53,14.9,7.5,2yr
BANA,AHY,,Cueva,14-Feb-07,57.5,17.2,8.7,2yr
