# Dominican republic Mencia pasture succession and Aceitillar morphometic data,,,,,,,,
"# Original file ""Mencia body cond site pers indivs.xls"" was received from Steve Latta via meail and saved as a workding  .csv file on 2/5/2018.
",,,,,,,,
"# Original .xls file password proteted; password = ""final""  all lower case",,,,,,,,
"# This file only contains wing and mass data for ""site persistent"" individuals as scored by SL latta",,,,,,,,
"# See  file ""All Mencia B.xls"" for SL's original site persistence data (capture histories in wide formake",,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 2/5/2018,,,,,,,,
# Note that morphometic data occurs in other spreadsheets but usually not all years are available; this also include Mencia AND Aceitillliar,,,,,,,,
spp.code,age,sex,site,date.cap.org,wing,tarsus,tarsus.2,mass
BANA,AHY,,Caoba,13-Nov-04,49.5,15.1,,6.6
BANA,AHY,,Caoba,17-Dec-05,52.5,15.1,,6.6
BANA,AHY,,Caoba,15-Nov-04,51.5,14.4,,6.3
BANA,AHY,,Caoba,9-Feb-05,49,15.5,,6.8
BANA,HY,,Caoba,13-Nov-04,50,15.3,,6.8
BANA,AHY,,Caoba,10-Jan-05,50,16.3,,7.3
BANA,AHY,,Caoba,11-Jan-05,51,15.4,,6.9
BANA,AHY,,Caoba,12-Jan-05,50,14.7,,6.6
BANA,HY,,Caoba,12-Nov-04,52.5,15.8,,7.1
BANA,AHY,,Caoba,13-Nov-04,52.5,15.8,,7.1
BANA,HY,,Caoba,13-Nov-04,50.5,14.8,,6.7
BANA,AHY,,Caoba,15-Jan-07,51.5,14.7,,6.7
BANA,HY,,Caoba,13-Nov-04,53,15.3,,7
BANA,AHY,,Caoba,18-Nov-05,50.5,15.3,,7.1
BANA,AHY,,Caoba,16-Nov-04,53,15.9,,7.4
BANA,AHY,,Caoba,13-Nov-04,53,16.3,,7.6
BANA,HY,,Caoba,6-Jan-04,53.5,15.8,,7.4
BANA,HY,,Caoba,7-Jan-04,51.5,15.8,,7.4
BANA,AHY,,Caoba,15-Nov-04,55.5,16,,7.5
BANA,AHY,,Caoba,12-Feb-05,50.5,14.9,,7
BANA,HY,,Caoba,12-Nov-03,52,15.4,,7.3
BANA,AHY,,Caoba,13-Nov-04,52,15.1,,7.2
BANA,AHY,,Caoba,14-Nov-04,56.5,15.9,,7.6
BANA,HY,,Caoba,9-Jan-05,53.5,15.9,,7.6
BANA,HY,,Caoba,17-Feb-06,51,15.5,,7.5
BANA,HY,,Caoba,13-Nov-04,52,15.7,,7.6
BANA,AHY,,Caoba,9-Jan-05,54,16.3,,7.9
BANA,AHY,,Caoba,13-Nov-04,52,15.6,,7.6
BANA,AHY,,Caoba,10-Jan-05,50.5,14.9,,7.3
BANA,AHY,,Caoba,13-Nov-04,53,15.1,,7.4
BANA,AHY,,Caoba,12-Nov-03,52,15.3,,7.5
BANA,HY,,Caoba,6-Jan-04,52.5,15.5,,7.6
