"spp.code","site","bnd.pre","bnd.suf","col","ag","sx","date","wng","tar","mass","wndr","rc.03.N","rs.03.N","rc.04.J","rs.04.J","rc.04.F","rs.04.F","rc.04.N","rs.04.N","rc.05.J","rs.05.J","rc.05.F","rs.05.F","rc.05.N","rs.05.N","rc.06.J","rs.06.J","rc.06.F","rs.06.F","rc.06.N","rs.06.N","rc.07.J","rs.07.J","rc.07.F","rs.07.F","rc.07.N","rs.07.N","rc.08.J","rs.08.J","date.cap.orig","yr","mo","day","nts","yr.num","site.ag.init","site.ag","bnd","stat.focals","num.rc.rs","persist","spp","stat","hab1","diet"
"AMRE","La Cueva","2240","21572","WW-XY","HY","F","9-Nov-04",61,16.8,7.5,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-09,"2004",11,9,NA,2004,2,3,"2240-21572","mig",3,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21573","YX-YY","HY",NA,"9-Nov-04",60.5,17,7.4,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-09,"2004",11,9,NA,2004,2,3,"2240-21573","mig",2,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21574","RB-XB","HY","F","10-Nov-04",61,17.1,8,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-10,"2004",11,10,NA,2004,2,3,"2240-21574","mig",3,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21577","XR-WB","HY",NA,"10-Nov-04",60,16.2,7.3,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-10,"2004",11,10,NA,2004,2,3,"2240-21577","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21578","YX-YB","HY","F","10-Nov-04",56.5,15.9,6.1,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-10,"2004",11,10,NA,2004,2,3,"2240-21578","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21579","BY-BX","AHY","F","10-Nov-04",60,17.4,6.2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-10,"2004",11,10,NA,2004,2,3,"2240-21579","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21584","XB-RY","HY","F","11-Nov-04",60,17,6.9,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-11,"2004",11,11,NA,2004,2,3,"2240-21584","mig",1,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21589","RX-BY","HY","F","12-Nov-04",60,16.6,6.9,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-12,"2004",11,12,NA,2004,2,3,"2240-21589","mig",6,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21822","RR-XR","HY",NA,"5-Jan-05",58,16.9,6.9,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2005-01-05,"2005",1,5,NA,2005,2,4,"2240-21822","mig",2,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21824","XR-YR","HY","M","5-Jan-05",61.5,17,6.5,NA,NA,NA,NA,NA,NA,NA,"bf","bf","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-05,"2005",1,5,NA,2005,2,4,"2240-21824","mig",1,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21825","XR-RW","HY","F","6-Jan-05",58,17.2,6.8,NA,NA,NA,NA,NA,NA,NA,"bf","bf","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-06,"2005",1,6,NA,2005,2,4,"2240-21825","mig",2,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21826","XR-RY","HY","F","6-Jan-05",59,17.4,6.9,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-06,"2005",1,6,NA,2005,2,4,"2240-21826","mig",2,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21827","XR-WW","AHY","F","7-Jan-05",61,17.8,6.9,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-07,"2005",1,7,NA,2005,2,4,"2240-21827","mig",1,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21847","XY-WB","HY",NA,"4-Feb-05",57.5,16.1,7,NA,NA,NA,NA,NA,NA,NA,"bf","bf","bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,2005-02-04,"2005",2,4,NA,2005,2,4,"2240-21847","mig",1,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21849","RR-XW","HY","M","5-Feb-05",60,16.5,7,NA,NA,NA,NA,NA,NA,NA,"bf","bf","bf","bf","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-05,"2005",2,5,NA,2005,2,4,"2240-21849","mig",1,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21850","XW-WB","AHY","F","7-Feb-05",59.5,16.7,6.3,"W",NA,NA,NA,NA,NA,NA,"bf","bf","bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-07,"2005",2,7,NA,2005,2,4,"2240-21850","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21870","RY-XY","HY","F","10-Nov-05",58.5,17.1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,2005-11-10,"2005",11,10,NA,2005,2,4,"2240-21870","mig",5,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21874","RB-XR","HY","F","11-Nov-05",55.5,16.8,6.6,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-11,"2005",11,11,NA,2005,2,4,"2240-21874","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21876","WR-XW","AHY","M","11-Nov-05",61,16.8,7.2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-11,"2005",11,11,NA,2005,2,4,"2240-21876","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21879","XW-WY","HY","F","12-Nov-05",58,16.7,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-12,"2005",11,12,NA,2005,2,4,"2240-21879","mig",1,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21883","WW-XW","HY","F","12-Nov-05",58.5,16.8,6.4,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-12,"2005",11,12,NA,2005,2,4,"2240-21883","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21923","YW-XW","HY","F","21-Nov-06",55,17,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,2006-11-21,"2006",11,21,NA,2006,2,5,"2240-21923","mig",2,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21925","WY-XR","AHY","F","21-Nov-06",56.5,17.9,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,2006-11-21,"2006",11,21,NA,2006,2,5,"2240-21925","mig",1,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21926","RB-XY","HY","F","21-Nov-06",56,16.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"1",NA,NA,NA,NA,2006-11-21,"2006",11,21,NA,2006,2,5,"2240-21926","mig",3,"P","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21841","RY-XR","AHY","F","17-Jan-05",59,17.1,7.5,NA,NA,NA,NA,NA,NA,NA,"bf","bf","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-17,"2005",1,17,NA,2005,20,22,"2240-21841","mig",4,"P","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21947","WB-XR","HY",NA,"8-Jan-07",58,16.8,6.8,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,2007-01-08,"2007",1,8,NA,2007,2,6,"2240-21947","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21532","WX-BR","HY","F","21-Nov-03",60,16.3,7.2,NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-21,"2003",11,21,NA,2003,10,10,"2240-21532","mig",4,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21534","BR-RX","HY","F","21-Nov-03",60,17.3,8,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-21,"2003",11,21,NA,2003,10,10,"2240-21534","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21535","XY-BW","HY","F","22-Nov-03",59,17.3,6.1,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-22,"2003",11,22,NA,2003,10,10,"2240-21535","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21536","BW-XY","HY","F","22-Nov-03",57,16.6,7.2,NA,NA,NA,NA,NA,"1","1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-22,"2003",11,22,NA,2003,10,10,"2240-21536","mig",6,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21540","XY-BY","HY","F","23-Nov-03",58,17.9,7,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-23,"2003",11,23,NA,2003,10,10,"2240-21540","mig",4,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21553","YB-XB","HY","F","8-Jan-04",58,16.9,7.1,"W","bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-08,"2004",1,8,NA,2004,10,11,"2240-21553","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21563","XY-RY","AHY","F","24-Feb-04",60,16.1,7,"W","bf","bf","bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-24,"2004",2,24,NA,2004,10,11,"2240-21563","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21564","XY-RR","AHY","F","24-Feb-04",60,17.3,7.6,NA,"bf","bf","bf","bf",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-24,"2004",2,24,NA,2004,10,11,"2240-21564","mig",1,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21803","XW-BW","HY",NA,"16-Nov-04",58.5,16.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-16,"2004",11,16,NA,2004,10,11,"2240-21803","mig",1,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21804","BY-RX","HY",NA,"16-Nov-04",59.5,17.3,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-16,"2004",11,16,NA,2004,10,11,"2240-21804","mig",1,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21805","XR-BR","HY","M","17-Nov-04",60.5,17,7.2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-17,"2004",11,17,NA,2004,10,11,"2240-21805","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21806","XR-WY","HY",NA,"18-Nov-04",61,17,7.4,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-18,"2004",11,18,NA,2004,10,11,"2240-21806","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21807","XR-YW","HY",NA,"18-Nov-04",60.5,17,7.1,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-18,"2004",11,18,NA,2004,10,11,"2240-21807","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21808","BX-BW","HY",NA,"18-Nov-04",58,17.7,8.2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-18,"2004",11,18,NA,2004,10,11,"2240-21808","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21810","BX-BW","HY",NA,"19-Nov-04",56.5,16.5,6.5,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-19,"2004",11,19,NA,2004,10,11,"2240-21810","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21811","BX-BY","HY",NA,"19-Nov-04",57,17.1,7.5,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-19,"2004",11,19,NA,2004,10,11,"2240-21811","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21838","XY-BR","AHY","F","12-Jan-05",58,17.4,7.5,NA,NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-12,"2005",1,12,NA,2005,10,12,"2240-21838","mig",1,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21840","XB-BY","HY","M","14-Jan-05",63.5,17.1,6.7,"W",NA,NA,NA,NA,NA,NA,"bf","bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-14,"2005",1,14,NA,2005,10,12,"2240-21840","mig",0,"NP","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21892","YY-XW","HY","M","19-Nov-05",58.5,16.8,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,2005-11-19,"2005",11,19,NA,2005,10,12,"2240-21892","mig",4,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21893","RW-XY","AHY","F","19-Nov-05",57.5,17.4,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1","1",NA,NA,NA,2005-11-19,"2005",11,19,NA,2005,10,12,"2240-21893","mig",4,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21942","YX-WB","HY","M","28-Nov-06",57.5,17.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,2006-11-28,"2006",11,28,NA,2006,10,13,"2240-21942","mig",1,"P","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21943","XB-WY","HY",NA,"30-Nov-06",59,16.4,8.2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-11-30,"2006",11,30,NA,2006,10,13,"2240-21943","mig",0,"NP","American Redstart","M","EF","I"
