"site","band.pre","band.suf","colors","species","age","sex","date","wing","tarsus","mass","wanderer","recap.2003.nov","resight.2003.nov","recap.2004.jan","resight.2004.jan","recap.2004.feb","resight.2004.feb","recap.2004.nov","resight.2004.nov","recap.2005.jan","resight.2005.jan","recap.2005.feb","resight.2005.feb","recap.2005.nov","resight.2005.nov","recap.2006.jan","resight.2006.jan","recap.2006.feb","resight.2006.feb","recap.2006.nov","resight.2006.nov","recap.2007.jan","resight.2007.jan","recap.2007.feb","resight.2007.feb","recap.2007.nov","resight.2007.nov","recap.2008.jan","resight.2008.jan","date2","year","month","day","notes","year.num","site.age.init","site.age","band","status"
"El Corral","2240","21554","XR-YB","AMRE","AHY","F","10-Jan-04",59.5,17.5,7.4,"W","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"2240-21554","mig"
"El Corral","2240","21565","XY-YY","AMRE","AHY",NA,"26-Feb-04",61,15.9,7.4,NA,"n/a","n/a","n/a","n/a",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-26,"2004",2,26,NA,2004,20,21,"2240-21565","mig"
"El Corral","2240","21816","XY-YW","AMRE","HY",NA,"20-Nov-04",62,16.9,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-20,"2004",11,20,NA,2004,20,21,"2240-21816","mig"
"El Corral","2240","21821","XW-BY","AMRE","AHY","M","24-Nov-04",61.5,15.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",2004-11-24,"2004",11,24,NA,2004,20,21,"2240-21821","mig"
"El Corral","2240","21841","RY-XR","AMRE","AHY","F","17-Jan-05",59,17.1,7.5,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-17,"2005",1,17,NA,2005,20,22,"2240-21841","mig"
"El Corral","2240","21842","WX-BW","AMRE","AHY","F","18-Jan-05",59,16.7,7.1,"W",NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-18,"2005",1,18,NA,2005,20,22,"2240-21842","mig"
"El Corral","2240","21843","WX-BY","AMRE","HY",NA,"20-Jan-05",58.5,17.4,6.9,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2240-21843","mig"
"El Corral","2240","21844","YX-BY","AMRE","HY","M","20-Jan-05",61,16.8,7.2,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2240-21844","mig"
"El Corral","2240","21845","XW-BR","AMRE","AHY","F","21-Jan-05",58.5,15.7,6.5,"W",NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-21,"2005",1,21,NA,2005,20,22,"2240-21845","mig"
"El Corral","2240","21865","RX-BR","AMRE","HY","M","16-Feb-05",60,16.5,7,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-16,"2005",2,16,NA,2005,20,22,"2240-21865","mig"
"El Corral","2240","21866","RW-XR","AMRE","HY",NA,"17-Feb-05",57.5,16.3,6.6,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-17,"2005",2,17,NA,2005,20,22,"2240-21866","mig"
"El Corral","2240","21869","XY-WR","AMRE","AHY","F","19-Feb-05",60,17,7.3,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-19,"2005",2,19,NA,2005,20,22,"2240-21869","mig"
"El Corral","2240","21896","YR-XR","AMRE","AHY","F","25-Nov-05",61,17.1,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-25,"2005",11,25,NA,2005,20,22,"2240-21896","mig"
"El Corral","2240","21906","XB-RB","AMRE","AHY","M","26-Dec-05",63,17,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-12-26,"2005",12,26,NA,2005,20,22,"2240-21906","mig"
"El Corral","2240","21944","YX-WY","AMRE","HY","F","3-Dec-06",59,17.2,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"X",2006-12-03,"2006",12,3,NA,2006,20,23,"2240-21944","mig"
"El Corral","2240","21955","YW-XR","AMRE","AHY","F","21-Jan-07",57,17.1,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X",NA,"X",NA,NA,NA,NA,2007-01-21,"2007",1,21,NA,2007,20,24,"2240-21955","mig"
"El Corral","2240","21956","BR-XR","AMRE","AHY","F","22-Jan-07",57.5,17.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,"X",NA,NA,NA,NA,2007-01-22,"2007",1,22,NA,2007,20,24,"2240-21956","mig"
"El Corral","2240","21957","XW-WR","AMRE","HY","M","23-Jan-07",61,16.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X",NA,"X",NA,NA,NA,NA,2007-01-23,"2007",1,23,NA,2007,20,24,"2240-21957","mig"
"El Corral","4A","296","R-X","ANPI","AHY","F","18-Jan-05",71,18,27.8,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-18,"2005",1,18,NA,2005,20,22,"4A-296",NA
"El Corral","2280","33223","X-","BANA","AHY",NA,"10-Jan-04",50.5,15.6,7.7,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"2280-33223","res"
"El Corral","2280","33224","X-","BANA","HY",NA,"10-Jan-04",54,16.4,7.4,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"2280-33224","res"
"El Corral","2250","78446","X-","BANA","AHY",NA,"20-Nov-04",57,16.3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-20,"2004",11,20,NA,2004,20,21,"2250-78446","res"
"El Corral","2250","78450","X-","BANA","AHY",NA,"21-Nov-04",56,16.5,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-21,"2004",11,21,NA,2004,20,21,"2250-78450","res"
"El Corral","2250","78453","X-","BANA","HY",NA,"22-Nov-04",51.5,15.4,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-22,"2004",11,22,NA,2004,20,21,"2250-78453","res"
"El Corral","2250","78461","X-","BANA","AHY",NA,"23-Nov-04",52,15.3,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-23,"2004",11,23,NA,2004,20,21,"2250-78461","res"
"El Corral","2250","78470","X-","BANA","HY",NA,"24-Nov-04",57,16.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-24,"2004",11,24,NA,2004,20,21,"2250-78470","res"
"El Corral","2220","95984","X-","BANA","HY",NA,"19-Jan-05",51.5,15.2,6.6,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-19,"2005",1,19,NA,2005,20,22,"2220-95984","res"
"El Corral","2220","95988","X-","BANA","AHY",NA,"19-Jan-05",49.5,14.9,7,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-19,"2005",1,19,NA,2005,20,22,"2220-95988","res"
"El Corral","2220","95989","X-","BANA","AHY",NA,"19-Jan-05",51.5,15.5,6.9,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-19,"2005",1,19,NA,2005,20,22,"2220-95989","res"
"El Corral",NA,"413","X-","BANA","AHY",NA,"19-Feb-05",53,16.2,8.4,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-19,"2005",2,19,NA,2005,20,22,"NA-413","res"
"El Corral",NA,"416","X-","BANA","AHY",NA,"20-Feb-05",51,15.7,7.2,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-20,"2005",2,20,NA,2005,20,22,"NA-416","res"
"El Corral",NA,"475","X-","BANA","HY",NA,"22-Nov-05",51,15,7,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-11-22,"2005",11,22,NA,2005,20,22,"NA-475","res"
"El Corral","2430","14084","X-","BANA","AHY",NA,"23-Jan-06",50,15.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-01-23,"2006",1,23,NA,2006,20,23,"2430-14084","res"
"El Corral","2430","14118","X-","BANA","AHY",NA,"22-Feb-06",51,15.2,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-02-22,"2006",2,22,NA,2006,20,23,"2430-14118","res"
"El Corral","2430","14119","X-","BANA","HY",NA,"23-Feb-06",51.5,15.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-02-23,"2006",2,23,NA,2006,20,23,"2430-14119","res"
"El Corral","2430","14121","X-","BANA","AHY",NA,"23-Feb-06",50,15.6,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-02-23,"2006",2,23,NA,2006,20,23,"2430-14121","res"
"El Corral","2430","14206","X-","BANA","AHY",NA,"2-Dec-06",50,14.9,7.3,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-12-02,"2006",12,2,NA,2006,20,23,"2430-14206","res"
"El Corral","2430","14216","X-","BANA","AHY",NA,"5-Dec-06",51.5,15.7,7.8,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,2006-12-05,"2006",12,5,NA,2006,20,23,"2430-14216","res"
"El Corral","2430","14291","X-","BANA","AHY",NA,"22-Jan-07",51,14.9,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,2007-01-22,"2007",1,22,NA,2007,20,24,"2430-14291","res"
"El Corral","2430","14297","X-","BANA","AHY",NA,"23-Jan-07",53.5,15.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,2007-01-23,"2007",1,23,NA,2007,20,24,"2430-14297","res"
"El Corral","2430","14366","X-","BANA","HY",NA,"1-Mar-07",53,15.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,2007-03-01,"2007",3,1,NA,2007,20,24,"2430-14366","res"
"El Corral","2250","78634","Y-X","BAWW","HY","M","13-Nov-03",64,17.1,9.9,NA,NA,NA,NA,NA,NA,"X",NA,NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-13,"2003",11,13,NA,2003,20,20,"2250-78634","mig"
"El Corral","2250","78632","X-B","BAWW","AHY","F","13-Nov-03",67.5,18.1,9.7,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-13,"2003",11,13,NA,2003,20,20,"2250-78632","mig"
"El Corral","2220","95992","RR-YX","BAWW","AHY","F","20-Jan-05",69.5,17.7,10,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X","X",NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2220-95992","mig"
"El Corral","2220","95993","YY-YX","BAWW","AHY","F","20-Jan-05",66.5,17.1,9.9,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"2220-95993","mig"
"El Corral",NA,"409","WW-YX","BAWW","AHY","M","18-Feb-05",69.5,16.8,10.3,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-18,"2005",2,18,NA,2005,20,22,"NA-409","mig"
"El Corral",NA,"414","YX-WB","BAWW","AHY","F","19-Feb-05",65.5,17.3,12.7,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-02-19,"2005",2,19,NA,2005,20,22,"NA-414","mig"
"El Corral",NA,"483","YX-RB","BAWW","HY","F","24-Nov-05",64,17.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,"X","X","X",NA,NA,NA,NA,NA,2005-11-24,"2005",11,24,NA,2005,20,22,"NA-483","mig"
"El Corral","2430","14045","YX-YR","BAWW","HY","F","24-Dec-05",65.5,17.8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-12-24,"2005",12,24,NA,2005,20,22,"2430-14045","mig"
"El Corral","2430","14046","YX-RY","BAWW","HY","M","24-Dec-05",67.5,17.2,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","X",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-12-24,"2005",12,24,NA,2005,20,22,"2430-14046","mig"
"El Corral","2430","14049","BR-YX","BAWW","HY","M","26-Dec-05",70.5,16.6,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-12-26,"2005",12,26,NA,2005,20,22,"2430-14049","mig"
"El Corral","2430","14086","YX-YW","BAWW","HY","F","26-Jan-06",63.5,16.5,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,2006-01-26,"2006",1,26,NA,2006,20,23,"2430-14086","mig"
"El Corral","2430","14125","YX-RW","BAWW","HY","F","26-Feb-06",68.5,17.1,9.5,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-02-26,"2006",2,26,NA,2006,20,23,"2430-14125","mig"
"El Corral","2430","14207","RR-WX","BAWW","AHY","F","3-Dec-06",63.5,17.5,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,"X",NA,NA,NA,NA,NA,2006-12-03,"2006",12,3,NA,2006,20,23,"2430-14207","mig"
"El Corral","2430","14212","WX-YB","BAWW","HY","M","5-Dec-06",68.5,17.5,9.2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-12-05,"2006",12,5,NA,2006,20,23,"2430-14212","mig"
"El Corral","2430","14219","WX-YW","BAWW","AHY","F","6-Dec-06",66,16,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,2006-12-06,"2006",12,6,NA,2006,20,23,"2430-14219","mig"
"El Corral","2430","14221","WX-YR","BAWW","AHY","F","6-Dec-06",66,17.1,9.7,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-12-06,"2006",12,6,NA,2006,20,23,"2430-14221","mig"
"El Corral","2430","14294","WX-RY","BAWW","AHY","F","23-Jan-07",66.5,17.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,"X","X",NA,NA,NA,NA,2007-01-23,"2007",1,23,NA,2007,20,24,"2430-14294","mig"
"El Corral","2430","14364","YX-RR","BAWW","AHY","F","28-Feb-07",67.5,17.2,9.8,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,2007-02-28,"2007",2,28,NA,2007,20,24,"2430-14364","mig"
"El Corral","4A","217","YX-BB","BCPT","HY",NA,"13-Nov-03",85.5,23.5,28.4,"P",NA,"X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-13,"2003",11,13,NA,2003,20,20,"4A-217","res"
"El Corral","4A","218","XW-BY","BCPT","AHY",NA,"13-Nov-03",NA,22.4,26.6,"P",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"Corral",NA,NA,NA,NA,NA,"Corral",NA,NA,NA,NA,"Morelia",NA,NA,NA,NA,NA,NA,2003-11-13,"2003",11,13,NA,2003,20,20,"4A-218","res"
"El Corral","4A","219","YR-XB","BCPT","AHY",NA,"13-Nov-03",87.5,23.7,26.7,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,2003-11-13,"2003",11,13,NA,2003,20,20,"4A-219","res"
"El Corral","4A","220","WY-XB","BCPT","AHY",NA,"13-Nov-03",91.5,23.9,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-13,"2003",11,13,NA,2003,20,20,"4A-220","res"
"El Corral","4A","221","RB-YX","BCPT","AHY",NA,"13-Nov-03",88,23.6,29.4,"P",NA,"X",NA,NA,"X","X",NA,NA,NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-13,"2003",11,13,NA,2003,20,20,"4A-221","res"
"El Corral","4A","222","YY-XB","BCPT","HY",NA,"14-Nov-03",81,23.6,28,"P",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-14,"2003",11,14,NA,2003,20,20,"4A-222","res"
"El Corral","4A","223","RY-BX","BCPT","HY",NA,"14-Nov-03",84,23.6,28.3,"P",NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-11-14,"2003",11,14,NA,2003,20,20,"4A-223","res"
"El Corral","4A","241","XY-RB","BCPT","HY",NA,"9-Jan-04",88.5,24,28.7,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-09,"2004",1,9,NA,2004,20,21,"4A-241","res"
"El Corral","4A","242","XB-YY","BCPT","HY",NA,"10-Jan-04",82.5,23.3,25.1,"P","n/a","n/a",NA,NA,NA,NA,NA,NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-10,"2004",1,10,NA,2004,20,21,"4A-242","res"
"El Corral","4A","243","YY-XY","BCPT","HY",NA,"11-Jan-04",87.5,24,27.5,"P","n/a","n/a",NA,"X",NA,"X","Corral",NA,NA,NA,NA,NA,NA,"X",NA,NA,"Corral",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,2004-01-11,"2004",1,11,NA,2004,20,21,"4A-243","res"
"El Corral","4A","244","RB-XR","BCPT","HY",NA,"11-Jan-04",85,24.3,25.7,"P","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-11,"2004",1,11,NA,2004,20,21,"4A-244","res"
"El Corral","4A","245","YW-WX","BCPT","AHY",NA,"11-Jan-04",91.5,22.9,27.4,"P","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"Corral",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,2004-01-11,"2004",1,11,NA,2004,20,21,"4A-245","res"
"El Corral","4A","246","XR-YB","BCPT","AHY",NA,"11-Jan-04",90,23.8,27.3,"P","n/a","n/a",NA,NA,NA,"X","Corral",NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-01-11,"2004",1,11,NA,2004,20,21,"4A-246","res"
"El Corral","4A","256","XY-RY","BCPT","AHY",NA,"25-Feb-04",89,23.1,29.5,"P","n/a","n/a","n/a","n/a",NA,"X",NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-25,"2004",2,25,NA,2004,20,21,"4A-256","res"
"El Corral","4A","257","RX-RB","BCPT","AHY",NA,"26-Feb-04",90,23,27.8,NA,"n/a","n/a","n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-26,"2004",2,26,NA,2004,20,21,"4A-257","res"
"El Corral","4A","258","XR-RB","BCPT","AHY",NA,"27-Feb-04",87.5,23.5,26,"P","n/a","n/a","n/a","n/a",NA,NA,NA,NA,"Corral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-27,"2004",2,27,NA,2004,20,21,"4A-258","res"
"El Corral","4A","281","XY-YR","BCPT","HY",NA,"20-Nov-04",86,24.1,31.5,"P",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-11-20,"2004",11,20,NA,2004,20,21,"4A-281","res"
"El Corral","4A","282","XY-BY","BCPT","HY",NA,"24-Nov-04",83,23.3,28.3,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,2004-11-24,"2004",11,24,NA,2004,20,21,"4A-282","res"
"El Corral","4A","297","XY-BR","BCPT","AHY",NA,"19-Jan-05",87.5,24.3,27.8,"P",NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-19,"2005",1,19,NA,2005,20,22,"4A-297","res"
"El Corral","4A","298","RX-BY","BCPT","HY",NA,"20-Jan-05",81.5,23.5,27,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-20,"2005",1,20,NA,2005,20,22,"4A-298","res"
