"spp.code","bnd","col","ag","sx","site","date.cap.orig","N.96","J.97","M.97","N.97","J.98","M.98","J.99","J.00","J.01","J.02","J.03","nts","date.cap.raw","stat.focals","spp","stat","hab1","diet","sub.site","persist"
"ANPI","4_4834","x-",NA,"F","Aceitillar",2001-02-02,"","","","","","","","","C","","","","2_2_2001",NA,"Antillean Piculet","R","DF","I","B1","NP"
"ANPI","4_4597","X-",NA,"F","Aceitillar",2000-01-26,"","","","","","","","C","","","","","1_26_2000",NA,"Antillean Piculet","R","DF","I","B1","NP"
"ANPI","4_4576","X-",NA,"M","Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999",NA,"Antillean Piculet","R","DF","I","B2","NP"
"ANPI","4_4585","X-",NA,"M","Aceitillar",2000-01-24,"","","","","","","","C","","","","","1_24_2000",NA,"Antillean Piculet","R","DF","I","B2","NP"
"BANA","2_6864","X-","AHY",NA,"Aceitillar",1999-01-28,"","","","","","","C","","","","","","1_28_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6862","X-","AHY",NA,"Aceitillar",1999-01-28,"","","","","","","C","","","","","","1_28_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","612","X-","AHY",NA,"Aceitillar",2000-01-25,"","","","","","","","C","","","","","1_25_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","610","X-","HY",NA,"Aceitillar",2000-01-25,"","","","","","","","C","","","","","1_25_2000","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6869","X-","HY",NA,"Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_5492","X-","HY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81095","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6868","X-","AHY",NA,"Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6995","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6859","X-","AHY",NA,"Aceitillar",1999-01-28,"","","","","","","C","","C","","","","1_28_1999","res","Bananaquit","R","EF","N","B2","P"
"BANA","2_6867","X-","HY",NA,"Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6875","X-","AHY",NA,"Aceitillar",1999-01-29,"","","","","","","C","","","","","","1_29_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6863","X-","AHY",NA,"Aceitillar",1999-01-28,"","","","","","","C","","","","","","1_28_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_5491","X-","HY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81077","X-","HY",NA,"Aceitillar",2001-01-31,"","","","","","","","","C","","","","1_31_2001","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6999","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","606","X-","AHY",NA,"Aceitillar",2000-01-24,"","","","","","","","C","","","","","1_24_2000","res","Bananaquit","R","EF","N","B2","NP"
