# Mencia pasture succession bird captures 2005-2006 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2005-06 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""All bird captured in 2005-06 -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
1791,50846,X-,GABU,HY,,El Corral,24-Jan-06,,,,,,x
1791,50847,X-,GABU,HY,,El Corral,24-Jan-06,,,,,,x
1791,50848,X-,GABU,HY,,El Corral,24-Jan-06,,,,,,x
1791,50874,X-,GABU,ASY,F,El Corral,22-Feb-06,,,,,,x
1791,50875,X-,GABU,SY,,El Corral,22-Feb-06,,,,,,x
1791,50876,X-,GABU,SY,,El Corral,23-Feb-06,,,,,,x
1791,50878,X-,GABU,SY,,El Corral,24-Feb-06,,,,,,x
1791,50880,X-,GABU,ASY,M,El Corral,24-Feb-06,,,,,,x
3A,219,XY-RB,GRWA,ASY,,El Corral,26-Jan-06,,,,,,x
3A,256,YX-BW,GRWA,SY,,El Corral,26-Dec-05,,,,,,x
3A,256,YX-BW,GRWA,ASY,,El Corral,24-Feb-06,,,,,,x
3A,263,XY-RY,GRWA,SY,,El Corral,25-Dec-05,,,,,,x
3A,263,XY-RY,GRWA,ASY,,El Corral,22-Feb-06,,,,,,x
3A,269,XB-BR,GRWA,HY,,El Corral,25-Nov-05,,,,,,x
3A,274,XR-RB,GRWA,HY,,El Corral,25-Dec-05,,,,,,x
3A,274,XR-RB,GRWA,SY,,El Corral,22-Feb-06,,,,,,x
3A,275,RY-XR,GRWA,AHY,,El Corral,26-Dec-05,,,,,,x
3A,280,YY-RX,GRWA,AHY,,El Corral,24-Jan-06,,,,,,x
3A,289,YR-XR,GRWA,SY,,El Corral,23-Feb-06,,,,,,x
3A,290,BY-BX,GRWA,SY,,El Corral,25-Feb-06,,,,,,x
3A,291,WW-WX,GRWA,SY,,El Corral,25-Feb-06,,,,,,x
8A,11,X-,HLCU,ASY,,El Corral,24-Feb-06,,,,,,x
8A,34,X-,HLCU,SY,,El Corral,23-Jan-06,,,,,,x
8A,34,X-,HLCU,ASY,,El Corral,22-Feb-06,,,,,,x
8A,42,X-,HLCU,HY,,El Corral,24-Nov-05,,,,,,x
8A,43,X-,HLCU,AHY,,El Corral,25-Nov-05,,,,,,x
8A,48,X-,HLCU,AHY,,El Corral,25-Dec-05,,,,,,x
8A,51,X-,HLCU,ASY,,El Corral,22-Feb-06,,,,,,x
8A,12,X-,KWQD,ASY,,El Corral,25-Dec-05,,,,,,x
8A,39,X-,KWQD,ASY,,El Corral,24-Feb-06,,,,,,x
8A,50,X-,KWQD,AHY,,El Corral,23-Jan-06,,,,,,x
8A,52,X-,KWQD,ASY,,El Corral,25-Feb-06,,,,,,x
1781,50373,X-,NOMO,HY,,El Corral,23-Nov-05,,,,,,x
1781,50382,X-,NOMO,HY,,El Corral,23-Dec-05,,,,,,x
1781,50388,X-,NOMO,HY,,El Corral,23-Jan-06,,,,,,x
1781,50393,X-,NOMO,ASY,,El Corral,23-Feb-06,,,,,,x
1781,50394,X-,NOMO,SY,,El Corral,23-Feb-06,,,,,,x
1771,12066,YY-BX,OVEN,AHY,,El Corral,26-Dec-05,,,,,,x
1771,12066,YY-BX,OVEN,AHY,,El Corral,25-Jan-06,,,,,,x
1771,12067,RR-YX,OVEN,HY,,El Corral,26-Dec-05,,,,,,x
1771,12067,RR-YX,OVEN,HY,,El Corral,25-Jan-06,,,,,,x
1771,12068,RX-RY,OVEN,HY,,El Corral,27-Dec-05,,,,,,x
1771,12068,RX-RY,OVEN,HY,,El Corral,25-Jan-06,,,,,,x
1771,12068,RX-RY,OVEN,SY,,El Corral,25-Feb-06,,,,,,x
1771,12069,WR-RX,OVEN,HY,,El Corral,27-Dec-05,,,,,,x
1771,12070,YX-RB,OVEN,HY,,El Corral,27-Dec-05,,,,,,x
1771,12077,YW-XB,OVEN,HY,,El Corral,23-Jan-06,,,,,,x
1771,12077,YW-XB,OVEN,SY,,El Corral,23-Feb-06,,,,,,x
1771,12078,RX-YR,OVEN,HY,,El Corral,24-Jan-06,,,,,,x
1771,12079,WY-XB,OVEN,AHY,,El Corral,26-Jan-06,,,,,,x
1771,12085,BX-BY,OVEN,ASY,,El Corral,24-Feb-06,,,,,,x
1771,12108,XB-RR,OVEN,SY,,El Corral,22-Nov-05,,,,,,x
1771,12110,RX-RB,OVEN,SY,,El Corral,23-Jan-06,,,,,,x
1771,12112,XW-WB,OVEN,SY,,El Corral,24-Nov-05,,,,,,x
1771,12112,XW-WB,OVEN,SY,,El Corral,24-Dec-05,,,,,,x
1771,12141,BX-RR,OVEN,ASY,,El Corral,24-Dec-05,,,,,,x
1771,12142,XB-YY,OVEN,ASY,,El Corral,26-Nov-05,,,,,,x
1771,12142,XB-YY,OVEN,ASY,,El Corral,25-Feb-06,,,,,,x
1771,12208,XW-YR,OVEN,SY,,El Corral,22-Jan-06,,,,,,x
1771,12216,WY-YX,OVEN,AHY,,El Corral,25-Nov-05,,,,,,x
1771,12243,WX-YY,OVEN,AHY,,El Corral,24-Dec-05,,,,,,x
1771,12285,RR-XB,OVEN,AHY,,El Corral,23-Nov-05,,,,,,x
1771,12286,YY-XB,OVEN,HY,,El Corral,24-Nov-05,,,,,,x
1771,12287,WW-XB,OVEN,HY,,El Corral,24-Nov-05,,,,,,x
1771,12287,WW-XB,OVEN,HY,,El Corral,23-Dec-05,,,,,,x
1771,12287,WW-XB,OVEN,HY,,El Corral,23-Jan-06,,,,,,x
1771,12288,RY-XB,OVEN,AHY,,El Corral,24-Nov-05,,,,,,x
1771,12289,RW-XB,OVEN,HY,,El Corral,25-Nov-05,,,,,,x
1771,12290,RB-XB,OVEN,HY,,El Corral,26-Nov-05,,,,,,x
1771,12300,BY-XB,OVEN,AHY,,El Corral,25-Dec-05,,,,,,x
1202,29696,X-,RLTH,HY,,El Corral,23-Nov-05,,,,,,x
1202,29705,X-,RLTH,HY,,El Corral,22-Jan-06,,,,,,x
1791,50771,XR-WB,STOF,ASY,,El Corral,24-Feb-06,,,,,,x
1791,50836,RW-XR,STOF,,,El Corral,26-Dec-05,,,,,,x
1791,50845,BX-YY,STOF,,,El Corral,22-Jan-06,,,,,,x
1791,50877,BX-WY,STOF,,,El Corral,23-Feb-06,,,,,,x
1791,50879,BW-BX,STOF,,,El Corral,24-Feb-06,,,,,,x
,478,X-,YFGR,HY,M,El Corral,23-Nov-05,,,,,,x
,482,X-,YFGR,HY,M,El Corral,24-Nov-05,,,,,,x
,484,X-,YFGR,HY,F,El Corral,24-Nov-05,,,,,,x
2430,14044,X-,YFGR,HY,M,El Corral,23-Dec-05,,,,,,x
2430,14083,X-,YFGR,AHY,M,El Corral,22-Jan-06,,,,,,x
2430,14085,X-,YFGR,HY,M,El Corral,23-Jan-06,,,,,,x
2430,14122,X-,YFGR,ASY,M,El Corral,23-Feb-06,,,,,,x
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2240,21522,WX-YB,AMRE,ASY,F,La Caoba,18-Nov-05,,,,,,x
2240,21522,WX-YB,AMRE,ASY,F,La Caoba,18-Dec-05,,,,,,x
2240,21522,WX-YB,AMRE,ASY,F,La Caoba,18-Jan-06,,,,,,x
2240,21589,RX-BY,AMRE,AHY,F,La Caoba,15-Nov-05,,,,,,x
2240,21591,YX-BW,AMRE,AHY,F,La Caoba,17-Dec-05,,,,,,x
2240,21885,BR-XW,AMRE,AHY,F,La Caoba,14-Nov-05,,,,,,x
2240,21901,WR-XR,AMRE,AHY,F,La Caoba,16-Dec-05,,,,,,x
2240,21901,WR-XR,AMRE,AHY,F,La Caoba,15-Jan-06,,,,,,x
,450,X-,BANA,HY,,La Caoba,15-Nov-05,,,,,,x
,451,X-,BANA,HY,,La Caoba,15-Nov-05,,,,,,x
,460,X-,BANA,AHY,,La Caoba,17-Nov-05,,,,,,x
,463,X-,BANA,AHY,,La Caoba,18-Nov-05,,,,,,x
,493,X-,BANA,AHY,,La Caoba,16-Dec-05,,,,,,x
2430,14016,X-,BANA,AHY,,La Caoba,16-Dec-05,,,,,,x
2430,14018,X-,BANA,AHY,,La Caoba,16-Dec-05,,,,,,x
2430,14023,X-,BANA,AHY,,La Caoba,17-Dec-05,,,,,,x
2430,14024,X-,BANA,AHY,,La Caoba,17-Dec-05,,,,,,x
2430,14026,X-,BANA,AHY,,La Caoba,17-Dec-05,,,,,,x
2430,14030,X-,BANA,AHY,,La Caoba,18-Dec-05,,,,,,x
2430,14099,X-,BANA,AHY,,La Caoba,15-Feb-06,,,,,,x
2430,14110,X-,BANA,HY,,La Caoba,17-Feb-06,,,,,,x
4A,233,RR-XB,BCPT,SY,,La Caoba,14-Nov-05,,,,,,x
4A,269,WX-YY,BCPT,SY,,La Caoba,17-Feb-06,,,,,,x
4A,288,WB-XR,BCPT,AHY,,La Caoba,15-Nov-05,,,,,,x
4A,344,WW-XW,BCPT,HY,,La Caoba,14-Nov-05,,,,,,x
4A,345,BW-XY,BCPT,HY,,La Caoba,14-Nov-05,,,,,,x
4A,346,WY-XY,BCPT,HY,,La Caoba,14-Nov-05,,,,,,x
4A,347,XY-WR,BCPT,HY,,La Caoba,15-Nov-05,,,,,,x
4A,348,XW-WY,BCPT,HY,,La Caoba,17-Nov-05,,,,,,x
4A,349,WB-XY,BCPT,AHY,,La Caoba,18-Nov-05,,,,,,x
4A,350,XW-YW,BCPT,HY,,La Caoba,18-Nov-05,,,,,,x
4A,365,XB-RR,BCPT,HY,,La Caoba,16-Dec-05,,,,,,x
4A,372,XB-YW,BCPT,AHY,,La Caoba,17-Feb-06,,,,,,x
4A,373,WR-XW,BCPT,HY,,La Caoba,17-Feb-06,,,,,,x
4A,375,WY-XW,BCPT,SY,,La Caoba,18-Feb-06,,,,,,x
4A,376,XW-WR,BCPT,AHY,,La Caoba,18-Feb-06,,,,,,x
2240,21517,X-,BFGR,ASY,M,La Caoba,17-Nov-05,,,,,,x
2240,21854,X-,BFGR,SY,F,La Caoba,17-Feb-06,,,,,,x
2240,21882,X-,BFGR,HY,F,La Caoba,14-Jan-06,,,,,,x
2240,21886,X-,BFGR,AHY,F,La Caoba,15-Nov-05,,,,,,x
2240,21888,X-,BFGR,HY,F,La Caoba,16-Nov-05,,,,,,x
2240,21890,X-,BFGR,AHY,M,La Caoba,17-Nov-05,,,,,,x
2240,21903,X-,BFGR,AHY,M,La Caoba,17-Dec-05,,,,,,x
2240,21904,X-,BFGR,HY,,La Caoba,18-Dec-05,,,,,,x
2240,21914,X-,BFGR,AHY,M,La Caoba,16-Feb-06,,,,,,x
2240,21915,X-,BFGR,AHY,M,La Caoba,16-Feb-06,,,,,,x
2240,21916,X-,BFGR,AHY,M,La Caoba,17-Feb-06,,,,,,x
2240,21917,X-,BFGR,AHY,F,La Caoba,17-Feb-06,,,,,,x
