# Mencia pasture succession bird captures 2003-2004 Dominican Republic,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2003-04 All Captures.xls""",,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018,,,,,,,,,,,,
# Note that this is the only year w/morphometric data,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC
2240,21554,XR-YB,AMRE,AHY,F,El Corral,10-Jan-04,59.5,17.5,7.4,1,0
2240,21565,XY-YY,AMRE,AHY,,El Corral,26-Feb-04,61,15.9,7.4,2,2
2280,33223,X-,BANA,AHY,,El Corral,10-Jan-04,50.5,15.6,7.7,,
2280,33224,X-,BANA,HY,,El Corral,10-Jan-04,54,16.4,7.4,,
2250,78632,X-B,BAWW,AHY,F,El Corral,13-Nov-03,67.5,18.1,9.7,0,1
2250,78632,X-B,BAWW,AHY,F,El Corral,25-Feb-04,67.5,18.1,10,1,1
2250,78634,Y-X,BAWW,HY,M,El Corral,13-Nov-03,64,17.1,9.9,1,2
4A,217,YX-BB,BCPT,HY,,El Corral,13-Nov-03,85.5,23.5,28.4,,
4A,217,YX-BB,BCPT,HY,,El Corral,10-Jan-04,83,24.1,27.2,,
4A,218,XW-BY,BCPT,AHY,,El Corral,13-Nov-03,,22.4,26.6,,
4A,218,XW-BY,BCPT,AHY,,El Corral,26-Feb-04,90.5,23,27,,
4A,219,YR-XB,BCPT,AHY,,El Corral,13-Nov-03,87.5,23.7,26.7,,
4A,220,WY-XB,BCPT,AHY,,El Corral,13-Nov-03,91.5,23.9,29.3,,
4A,221,RB-YX,BCPT,AHY,,El Corral,13-Nov-03,88,23.6,29.4,,
4A,221,RB-YX,BCPT,AHY,,El Corral,25-Feb-04,88,23.8,28.5,,
4A,222,YY-XB,BCPT,HY,,El Corral,14-Nov-03,81,23.6,28,,
4A,223,RY-BX,BCPT,HY,,El Corral,14-Nov-03,84,23.6,28.3,,
4A,223,RY-BX,BCPT,HY,,El Corral,10-Jan-04,82,24.1,28,,
4A,241,XY-RB,BCPT,HY,,El Corral,9-Jan-04,88.5,24,28.7,,
4A,242,XB-YY,BCPT,HY,,El Corral,10-Jan-04,82.5,23.3,25.1,,
4A,243,YY-XY,BCPT,HY,,El Corral,11-Jan-04,87.5,24,27.5,,
4A,244,RB-XR,BCPT,HY,,El Corral,11-Jan-04,85,24.3,25.7,,
4A,245,YW-WX,BCPT,AHY,,El Corral,11-Jan-04,91.5,22.9,27.4,,
4A,246,XR-YB,BCPT,AHY,,El Corral,11-Jan-04,90,23.8,27.3,,
4A,256,XY-RY,BCPT,AHY,,El Corral,25-Feb-04,89,23.1,29.5,,
4A,257,RX-RB,BCPT,AHY,,El Corral,26-Feb-04,90,23,27.8,,
4A,258,XR-RB,BCPT,AHY,,El Corral,27-Feb-04,87.5,23.5,26,,
2240,21530,X-,BFGR,AHY,F,El Corral,13-Nov-03,50.5,14.7,9.2,,
2240,21531,X-,BFGR,AHY,F,El Corral,13-Nov-03,51,15.7,12,,
2240,21531,X-,BFGR,AHY,F,El Corral,9-Jan-04,51,15.8,9.5,,
2240,21555,X-,BFGR,AHY,F,El Corral,11-Jan-04,52.8,16.6,11.6,,
2280,33222,XW-RR,BTBW,AHY,F,El Corral,9-Jan-04,65,19.1,9.1,1,2
2280,33289,RX-YY,BTBW,HY,F,El Corral,26-Feb-04,59,18.6,8.5,0,0
2280,33290,XY-YR,BTBW,HY,F,El Corral,27-Feb-04,58,17.3,8.1,0,0
2250,78626,XY-BW,BTBW,HY,M,El Corral,12-Nov-03,62,18.3,9.2,1,2
2250,78636,X-B,BTBW,HY,F,El Corral,14-Nov-03,59.5,19.3,8.2,0,1
2250,78637,X-B,BTBW,AHY,M,El Corral,14-Nov-03,64,19,9.3,0,1
2250,78637,X-B,BTBW,AHY,M,El Corral,10-Jan-04,65,19,9.1,1,1
2280,33225,XY-RB,CMWA,HY,M,El Corral,10-Jan-04,64.5,18.7,9.9,2,1
2280,33287,BR-XR,CMWA,AHY,M,El Corral,25-Feb-04,65.5,17.7,9.8,2,2
2280,33288,XY-YB,CMWA,AHY,F,El Corral,26-Feb-04,65,17.5,8.9,1,1
2250,78635,RB-YX,CMWA,HY,F,El Corral,13-Nov-03,64.5,17.9,8.6,2,1
1791,50628,X-,GABU,AHY,M,El Corral,12-Nov-03,69,19.8,23.7,,
1791,50629,X-,GABU,AHY,M,El Corral,13-Nov-03,73.5,21.6,24.8,,
1791,50630,X-,GABU,HY,M,El Corral,13-Nov-03,72.5,21.8,21.1,,
1791,50631,X-,GABU,HY,M,El Corral,14-Nov-03,73.5,21.6,22.2,,
1791,50632,X-,GABU,AHY,M,El Corral,14-Nov-03,73.5,22.1,24.2,,
1791,50667,X-,GABU,HY,M,El Corral,9-Jan-04,72.5,20.7,20.8,,
1791,50668,X-,GABU,AHY,M,El Corral,11-Jan-04,71.5,21.8,22.7,,
1791,50692,X-,GABU,AHY,M,El Corral,25-Feb-04,75,21.9,22.9,,
1791,50694,X-,GABU,AHY,M,El Corral,26-Feb-04,77,20.6,21.9,,
1791,50695,X-,GABU,AHY,F,El Corral,26-Feb-04,67.5,19.9,20.4,,
3A,209,BX-BB,GRWA,AHY,,El Corral,12-Nov-03,60,20.2,14,,
3A,209,BX-BB,GRWA,,,El Corral,13-Nov-03,,,,,
3A,210,YX-BB,GRWA,HY,,El Corral,13-Nov-03,60.5,21,,,
3A,210,YX-BB,GRWA,HY,,El Corral,10-Jan-04,61,21.3,11.9,,
3A,211,BB-XR,GRWA,AHY,,El Corral,13-Nov-03,61.5,20.3,12.6,,
3A,212,YX-WB,GRWA,AHY,,El Corral,13-Nov-03,62,21.5,11.7,,
3A,219,XY-RB,GRWA,AHY,,El Corral,10-Jan-04,63.5,21,12.8,,
3A,219,XY-RB,GRWA,AHY,,El Corral,25-Feb-04,63.5,21.1,12.9,,
3A,228,RB-RX,GRWA,AHY,,El Corral,25-Feb-04,64.5,20.9,12.5,,
3A,229,XY-RR,GRWA,AHY,,El Corral,25-Feb-04,66.5,21.7,12.4,,
3A,230,BY-XY,GRWA,AHY,,El Corral,25-Feb-04,62.5,21.7,13.5,,
3A,231,BR-XY,GRWA,AHY,,El Corral,26-Feb-04,64,20,13.1,,
3A,232,BR-XR,GRWA,HY,,El Corral,26-Feb-04,59,21.7,12.1,,
8A,11,X-,HLCU,,,El Corral,13-Nov-03,133,35.6,84.6,,
8A,11,X- ,HLCU,AHY,,El Corral,25-Feb-04,133,35.6,85.6,,
8A,19,X-,HLCU,AHY,,El Corral,9-Jan-04,135,37.5,100.9,,
8A,23,X-,HLCU,AHY,,El Corral,25-Feb-04,134,35,85.6,,
8A,24,X-,HLCU,AHY,,El Corral,25-Feb-04,136.5,38.2,102.5,,
8A,25,X-,HLCU,AHY,,El Corral,26-Feb-04,132,36.9,81.9,,
8A,12,X-,KWQD,AHY,,El Corral,13-Nov-03,153,,173.6,,
