# Mencia pasture succession bird captures 2007-2008 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2007-08 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018   See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# NOTE: original file contains occasinal spaces between chunks of records;  appears to be by species,,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""New birds and recaps captured in 2007-08  -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
1771,12421,X-,OVEN,HY,,La Caoba A,11-Jan-08,,,,,,
1771,12425,X-,OVEN,AHY,,La Caoba,11-Nov-07,,,,,,
1771,12426,X-,OVEN,AHY,,La Caoba,12-Nov-07,,,,,,
1771,12426,X-,OVEN,AHY,,La Caoba,10-Jan-08,,,,,,
1771,12427,X-,OVEN,HY,,La Caoba,12-Nov-07,,,,,,
1771,12428,X-,OVEN,HY,,La Caoba,12-Nov-07,,,,,,
1771,12429,X-,OVEN,AHY,,La Caoba,13-Nov-07,,,,,,
1771,12430,X-,OVEN,HY,,La Caoba,13-Nov-07,,,,,,
1771,12431,X-,OVEN,AHY,,La Caoba A,13-Nov-07,,,,,,
1771,12433,X-,OVEN,HY,,La Caoba,10-Jan-08,,,,,,
1771,12433,X-,OVEN,HY,,La Caoba A,14-Nov-07,,,,,,
1771,12449,X-,OVEN,HY,,La Caoba,9-Jan-08,,,,,,
1771,12451,X-,OVEN,HY,,La Caoba A,13-Jan-08,,,,,,
4A,248,X-,PALM,AHY,,La Caoba,9-Jan-08,,,,,,
2240,21908,XB-BR,PRAW,AHY,F,La Caoba A,14-Nov-07,,,,,,
2240,21982,X-,PRAW,HY,F,La Caoba,11-Nov-07,,,,,,
2240,21993,X-,PRAW,HY,U,La Caoba,9-Jan-08,,,,,,
2240,21996,X-,PRAW,AHY,F,La Caoba A,12-Jan-08,,,,,,
1202,29748,X-,RLTH,HY,,La Caoba,11-Nov-07,,,,,,
1202,29749,X-,RLTH,AHY,,La Caoba,11-Nov-07,,,,,,
1202,29750,X-,RLTH,AHY,,La Caoba,12-Nov-07,,,,,,
1202,29751,X-,RLTH,HY,,La Caoba,12-Nov-07,,,,,,
1202,29752,X-,RLTH,AHY,,La Caoba,12-Nov-07,,,,,,
1202,29753,X-,RLTH,HY,,La Caoba,12-Nov-07,,,,,,
1202,29754,X-,RLTH,AHY,,La Caoba,13-Nov-07,,,,,,
1202,29754,X-,RLTH,AHY,,La Caoba A,11-Jan-08,,,,,,
1202,29755,X-,RLTH,HY,,La Caoba A,14-Nov-07,,,,,,
1202,29756,X-,RLTH,HY,,La Caoba A,14-Nov-07,,,,,,
1202,29758,X-,RLTH,AHY,,La Caoba A,15-Nov-07,,,,,,
1202,29766,X-,RLTH,HY,,La Caoba A,12-Jan-08,,,,,,
1202,29767,X-,RLTH,HY,,La Caoba A,12-Jan-08,,,,,,
1202,29768,X-,RLTH,AHY,,La Caoba A,13-Jan-08,,,,,,
1771,12432,X-,RTSO,HY,,La Caoba A,14-Nov-07,,,,,,
1771,12450,X-,RTSO,HY,,La Caoba A,12-Jan-08,,,,,,
1781,50154,X-,SUTA,AHY,F,La Caoba,11-Nov-07,,,,,,
2430,14414,X-,YFGR,HY,M,La Caoba A,13-Nov-07,,,,,,
2430,14417,X-,YFGR,HY,F,La Caoba A,13-Nov-07,,,,,,
2430,14427,X-,YFGR,AHY,M,La Caoba A,15-Nov-07,,,,,,
2430,14468,X-,YFGR,AHY,F,La Caoba A,12-Jan-08,,,,,,
2430,14479,X-,YFGR,AHY,F,La Caoba A,11-Jan-08,,,,,,
2430,14480,X-,YFGR,AHY,M,La Caoba A,11-Jan-08,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2240,21948,XY-RB,AMRE,AHY,F,La Cueva,9-Nov-07,,,,,,
2240,21974,X-,AMRE,HY,,La Cueva,7-Nov-07,,,,,,
2240,21975,X-,AMRE,HY,M,La Cueva,7-Nov-07,,,,,,
2240,21976,X-,AMRE,HY,M,La Cueva,7-Nov-07,,,,,,
2240,21977,X-,AMRE,HY,,La Cueva,8-Nov-07,,,,,,
2240,21978,X-,AMRE,HY,M,La Cueva,9-Nov-07,,,,,,
2240,21979,X-,AMRE,HY,,La Cueva,9-Nov-07,,,,,,
2240,21992,X-,AMRE,AHY,F,La Cueva A,7-Jan-08,,,,,,
2430,14376,X-,BANA,HY,,La Cueva,7-Nov-07,,,,,,
2430,14383,X-,BANA,AHY,,La Cueva,9-Nov-07,,,,,,
2430,14383,X-,BANA,AHY,,La Cueva,6-Jan-08,,,,,,
2430,14384,X-,BANA,HY,,La Cueva,9-Nov-07,,,,,,
2430,14384,X-,BANA,HY,,La Cueva,5-Jan-08,,,,,,
2430,14388,X-,BANA,AHY,,La Cueva A,10-Nov-07,,,,,,
2430,14395,X-,BANA,HY,,La Cueva A,10-Nov-07,,,,,,
2430,14396,X-,BANA,HY,,La Cueva,6-Jan-08,,,,,,
2430,14396,X-,BANA,HY,,La Cueva A,10-Nov-07,,,,,,
2430,14397,X-,BANA,AHY,,La Cueva A,11-Nov-07,,,,,,
2430,14464,X-,BANA,HY,,La Cueva,6-Jan-08,,,,,,
4A,210,BY-YX,BCPT,AHY,,La Cueva A,8-Jan-08,,,,,,
4A,420,X-,BCPT,HY,,La Cueva,8-Nov-07,,,,,,
4A,422,X-,BCPT,HY,,La Cueva,8-Nov-07,,,,,,
4A,423,X-,BCPT,HY,,La Cueva,8-Nov-07,,,,,,
4A,424,X-,BCPT,HY,,La Cueva,8-Nov-07,,,,,,
4A,425,X-,BCPT,HY,,La Cueva,9-Nov-07,,,,,,
4A,426,X-,BCPT,AHY,,La Cueva,9-Nov-07,,,,,,
4A,447,X-,BCPT,AHY,,La Cueva,6-Jan-08,,,,,,
2240,21525,X-,BFGR,AHY,M,La Cueva A,8-Jan-08,,,,,,
2240,21980,X-,BFGR,AHY,M,La Cueva A,9-Nov-07,,,,,,
2240,21991,X-,BFGR,AHY,M,La Cueva,7-Jan-08,,,,,,
2430,14373,X-,BTBW,HY,F,La Cueva,7-Nov-07,,,,,,
2430,14379,X-,BTBW,AHY,M,La Cueva,8-Nov-07,,,,,,
2430,14380,X-,BTBW,AHY,M,La Cueva,9-Nov-07,,,,,,
2430,14382,X-,BTBW,AHY,F,La Cueva,9-Nov-07,,,,,,
2430,14386,X-,BTBW,HY,M,La Cueva,9-Nov-07,,,,,,
2430,14389,X-,BTBW,HY,F,La Cueva A,10-Nov-07,,,,,,
2430,14390,X-,BTBW,HY,M,La Cueva A,10-Nov-07,,,,,,
2430,14391,X-,BTBW,AHY,F,La Cueva A,10-Nov-07,,,,,,
2430,14392,X-,BTBW,HY,F,La Cueva A,10-Nov-07,,,,,,
2430,14399,X-,BTBW,AHY,F,La Cueva,5-Jan-08,,,,,,
2430,14399,X-,BTBW,AHY,F,La Cueva A,11-Nov-07,,,,,,
2430,14457,X-,BTBW,AHY,M,La Cueva,5-Jan-08,,,,,,
2430,14462,X-,BTBW,HY,F,La Cueva,5-Jan-08,,,,,,
2430,14465,X-,BTBW,HY,F,La Cueva,6-Jan-08,,,,,,
2430,14470,X-,BTBW,AHY,F,La Cueva A,7-Jan-08,,,,,,
2430,14471,X-,BTBW,AHY,F,La Cueva A,8-Jan-08,,,,,,
2430,14472,X-,BTBW,HY,M,La Cueva A,9-Jan-08,,,,,,
1771,12415,X-,BWVI,HY,,La Cueva,8-Nov-07,,,,,,
2430,14387,X-,BWWA,HY,M,La Cueva A,9-Nov-07,,,,,,
2430,14381,X-,CMWA,HY,F,La Cueva,9-Nov-07,,,,,,
2430,14398,X-,CMWA,AHY,F,La Cueva A,11-Nov-07,,,,,,
2430,14459,X-,CMWA,HY,F,La Cueva,5-Jan-08,,,,,,
2430,14463,X-,CMWA,AHY,F,La Cueva,6-Jan-08,,,,,,
2430,14467,X-,CMWA,AHY,M,La Cueva A,7-Jan-08,,,,,,
2280,33602,YX-YW,CMWA,AHY,F,La Cueva A,10-Nov-07,,,,,,
2430,14132,YR-XY,COYE,AHY,M,La Cueva,9-Nov-07,,,,,,
2430,14385,X-,COYE,HY,M,La Cueva,9-Nov-07,,,,,,
2430,14385,X-,COYE,HY,,La Cueva A,9-Jan-08,,,,,,
1761,5609,X-,GABU,HY,F,La Cueva,7-Nov-07,,,,,,
1761,5610,X-,GABU,HY,M,La Cueva,8-Nov-07,,,,,,
1761,5611,X-,GABU,HY,F,La Cueva,8-Nov-07,,,,,,
1761,5612,X-,GABU,HY,M,La Cueva,8-Nov-07,,,,,,
1761,5613,X-,GABU,HY,M,La Cueva,9-Nov-07,,,,,,
1761,5615,X-,GABU,AHY,F,La Cueva A,10-Nov-07,,,,,,
1761,5616,X-,GABU,HY,F,La Cueva A,10-Nov-07,,,,,,
1761,5632,X-,GABU,HY,F,La Cueva,5-Jan-08,,,,,,
1761,5633,X-,GABU,AHY,M,La Cueva,6-Jan-08,,,,,,
1781,50153,X-,GABU,HY,F,La Cueva,7-Nov-07,,,,,,
1791,50498,X-,GABU,AHY,F,La Cueva,6-Jan-08,,,,,,
1791,50650,X-,GABU,AHY,F,La Cueva A,10-Nov-07,,,,,,
1791,50663,X-,GABU,AHY,M,La Cueva A,10-Nov-07,,,,,,
1791,50704,X-,GABU,AHY,F,La Cueva A,8-Jan-08,,,,,,
3A,311,X-,GRWA,HY,,La Cueva,7-Nov-07,,,,,,
3A,312,X-,GRWA,AHY,,La Cueva A,10-Nov-07,,,,,,
3A,313,X-,GRWA,AHY,,La Cueva A,10-Nov-07,,,,,,
3A,317,X-,GRWA,HY,,La Cueva,6-Jan-08,,,,,,
4A,421,X-,HISP,HY,F,La Cueva,8-Nov-07,,,,,,
4A,427,X-,HISP,HY,,La Cueva A,9-Nov-07,,,,,,
4A,428,X-,HISP,HY,,La Cueva A,10-Nov-07,,,,,,
4A,429,X-,HISP,AHY,M,La Cueva A,10-Nov-07,,,,,,
4A,430,X-,HISP,AHY,M,La Cueva A,10-Nov-07,,,,,,
4A,431,X-,HISP,AHY,F,La Cueva A,10-Nov-07,,,,,,
8A,62,X-,HLCU,AHY,,La Cueva,7-Nov-07,,,,,,
8A,71,X-,HLCU,AHY,,La Cueva,8-Nov-07,,,,,,
8A,71,X-,HLCU,AHY,,La Cueva A,7-Jan-08,,,,,,
8A,72,X-,HLCU,AHY,,La Cueva A,11-Nov-07,,,,,,
1781,50147,X-,NOMO,AHY,,La Cueva,8-Nov-07,,,,,,
1781,50331,X-,NOMO,AHY,,La Cueva A,8-Jan-08,,,,,,
1771,12086,RY-BX,OVEN,AHY,,La Cueva,6-Jan-08,,,,,,
1771,12092,YW-RX,OVEN,AHY,,La Cueva,7-Nov-07,,,,,,
1771,12096,WX-BR,OVEN,AHY,,La Cueva A,10-Nov-07,,,,,,
1771,12096,WX-BR,OVEN,AHY,,La Cueva A,8-Jan-08,,,,,,
1771,12358,RR-XG,OVEN,AHY,,La Cueva A,11-Nov-07,,,,,,
1771,12361,YG-XR,OVEN,AHY,,La Cueva,6-Jan-08,,,,,,
1771,12362,GY-XR,OVEN,AHY,,La Cueva,7-Nov-07,,,,,,
1771,12413,X-,OVEN,HY,,La Cueva,7-Nov-07,,,,,,
1771,12414,X-,OVEN,AHY,,La Cueva,8-Nov-07,,,,,,
1771,12416,X-,OVEN,AHY,,La Cueva,9-Nov-07,,,,,,
1771,12417,X-,OVEN,HY,,La Cueva A,10-Nov-07,,,,,,
1771,12418,X-,OVEN,HY,,La Cueva A,10-Nov-07,,,,,,
1771,12419,X-,OVEN,HY,,La Cueva A,10-Nov-07,,,,,,
1771,12420,X-,OVEN,AHY,,La Cueva A,10-Nov-07,,,,,,
1771,12421,X-,OVEN,HY,,La Cueva A,11-Nov-07,,,,,,
1771,12422,X-,OVEN,AHY,,La Cueva A,11-Nov-07,,,,,,
1771,12423,X-,OVEN,HY,,La Cueva A,11-Nov-07,,,,,,
1771,12424,X-,OVEN,HY,,La Cueva,5-Jan-08,,,,,,
1771,12424,X-,OVEN,HY,,La Cueva A,11-Nov-07,,,,,,
1771,12448,X-,OVEN,HY,,La Cueva,5-Jan-08,,,,,,
2240,21981,X-,PRAW,HY,,La Cueva A,9-Nov-07,,,,,,
1202,29738,X-,RLTH,HY,,La Cueva,7-Nov-07,,,,,,
1202,29739,X-,RLTH,AHY,,La Cueva,8-Nov-07,,,,,,
1202,29740,X-,RLTH,HY,,La Cueva,8-Nov-07,,,,,,
1202,29741,X-,RLTH,HY,,La Cueva,8-Nov-07,,,,,,
1202,29742,X-,RLTH,HY,,La Cueva,8-Nov-07,,,,,,
1202,29743,X-,RLTH,HY,,La Cueva,8-Nov-07,,,,,,
1202,29744,X-,RLTH,HY,,La Cueva,8-Nov-07,,,,,,
1202,29745,X-,RLTH,AHY,,La Cueva,9-Nov-07,,,,,,
1202,29746,X-,RLTH,HY,,La Cueva A,10-Nov-07,,,,,,
1202,29747,X-,RLTH,AHY,,La Cueva A,10-Nov-07,,,,,,
