# Mencia pasture succession bird captures 2006-2007 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2006-07 All Captures.xls""   Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018   See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# NOTE: original file contains occasinal spaces between chunks of records;  appears to be by species,,,,,,,,,,,,,
"# NOTE: file does not contain morphometric or condition data (pec, etc)",,,,,,,,,,,,,
"#Original comment: ""New birds and recaps captured in 2006-07  -- but all within session recaps omitted""  This information is likely in the ""All Mencia B.xls"" file that contains information on site persistance",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
6A,22,X-,AM-KE,AHY,F,La Cueva,9-Jan-07,,,,,,x
6A,23,X-,AM-KE,AHY,M,Morelia,25-Feb-07,,,,,,x
,,,,,,,,,,,,,
2240,21944,YX-WY,AMRE,HY,F,El Corral,3-Dec-06,,,,,,x
2240,21955,YW-XR,AMRE,AHY,F,El Corral,21-Jan-07,,,,,,x
2240,21956,BR-XR,AMRE,AHY,F,El Corral,22-Jan-07,,,,,,x
2240,21944,YX-WY,AMRE,HY,F,El Corral,23-Jan-07,,,,,,x
2240,21957,XW-WR,AMRE,HY,M,El Corral,23-Jan-07,,,,,,x
2240,21930,BX-BR,AMRE,AHY,F,La Caoba,24-Nov-06,,,,,,x
2240,21931,XB-WB,AMRE,HY,,La Caoba,24-Nov-06,,,,,,x
2240,21932,RR-RX,AMRE,HY,,La Caoba,24-Nov-06,,,,,,x
2240,21933,XY-YR,AMRE,HY,,La Caoba,24-Nov-06,,,,,,x
2240,21936,YR-XY,AMRE,HY,F,La Caoba,25-Nov-06,,,,,,x
2240,21938,XY-YB,AMRE,HY,,La Caoba,26-Nov-06,,,,,,x
2240,21940,RX-WB,AMRE,HY,M,La Caoba,27-Nov-06,,,,,,x
2240,21941,RR-BX,AMRE,AHY,F,La Caoba,28-Nov-06,,,,,,x
2240,21930,BX-BR,AMRE,AHY,F,La Caoba,12-Jan-07,,,,,,x
2240,21951,YB-XY,AMRE,HY,F,La Caoba,14-Jan-07,,,,,,x
2240,21522,WX-YB,AMRE,AHY,F,La Caoba,16-Jan-07,,,,,,x
2240,21965,XW-RW,AMRE,HY,M,La Caoba,18-Feb-07,,,,,,x
2240,21591,YX-BW,AMRE,AHY,F,La Caoba,19-Feb-07,,,,,,x
2240,21930,BX-BR,AMRE,AHY,F,La Caoba,20-Feb-07,,,,,,x
2240,21938,XY-YB,AMRE,HY,,La Caoba,20-Feb-07,,,,,,x
2240,21967,RX-YR,AMRE,AHY,F,La Caoba,22-Feb-07,,,,,,x
2240,21923,YW-XW,AMRE,HY,F,La Cueva,21-Nov-06,,,,,,x
2240,21925,WY-XR,AMRE,AHY,F,La Cueva,21-Nov-06,,,,,,x
2240,21926,RB-XY,AMRE,HY,F,La Cueva,21-Nov-06,,,,,,x
2240,21929,YX-BR,AMRE,AHY,F,La Cueva,24-Nov-06,,,,,,x
2240,21926,RB-XY,AMRE,HY,F,La Cueva,8-Jan-07,,,,,,x
2240,21947,WB-XR,AMRE,HY,,La Cueva,8-Jan-07,,,,,,x
2240,21948,XY-RB,AMRE,HY,,La Cueva,9-Jan-07,,,,,,x
2240,21929,YX-BR,AMRE,AHY,F,La Cueva,10-Jan-07,,,,,,x
2240,21949,YW-XY,AMRE,AHY,F,La Cueva,10-Jan-07,,,,,,x
2240,21513,BY-XW,AMRE,AHY,F,La Cueva,12-Jan-07,,,,,,x
2240,21923,YW-XW,AMRE,HY,F,La Cueva,12-Jan-07,,,,,,x
2240,21960,BY-XY,AMRE,AHY,F,La Cueva,16-Feb-07,,,,,,x
2240,21949,YW-XY,AMRE,AHY,F,La Cueva,17-Feb-07,,,,,,x
2240,21942,YX-WB,AMRE,HY,M,Morelia,28-Nov-06,,,,,,x
2240,21943,XB-WY,AMRE,HY,,Morelia,30-Nov-06,,,,,,x
2240,21942,YX-WB,AMRE,HY,M,Morelia,16-Jan-07,,,,,,x
2240,21952,RY-XB,AMRE,HY,,Morelia,17-Jan-07,,,,,,x
,,,,,,,,,,,,,
4A,396,X-G,ANPI,AHY,F,La Caoba,24-Nov-06,,,,,,x
,,,,,,,,,,,,,
2430,14206,X-,BANA,AHY,,El Corral,2-Dec-06,,,,,,x
2430,14216,X-,BANA,AHY,,El Corral,5-Dec-06,,,,,,x
2430,14291,X-,BANA,AHY,,El Corral,22-Jan-07,,,,,,x
2430,14216,X-,BANA,AHY,,El Corral,23-Jan-07,,,,,,x
2430,14297,X-,BANA,AHY,,El Corral,23-Jan-07,,,,,,x
2430,14366,X-,BANA,HY,,El Corral,1-Mar-07,,,,,,x
,435,X-,BANA,AHY,,La Caoba,24-Nov-06,,,,,,x
2430,14251,X-,BANA,AHY,M,La Caoba,13-Jan-07,,,,,,x
2430,14254,X-,BANA,AHY,,La Caoba,14-Jan-07,,,,,,x
2430,14255,X-,BANA,HY,,La Caoba,14-Jan-07,,,,,,x
2430,14258,X-,BANA,AHY,,La Caoba,14-Jan-07,,,,,,x
2430,14259,X-,BANA,AHY,,La Caoba,14-Jan-07,,,,,,x
2430,14261,X-,BANA,AHY,,La Caoba,14-Jan-07,,,,,,x
2430,14263,X-,BANA,AHY,,La Caoba,14-Jan-07,,,,,,x
2430,14270,X-,BANA,AHY,,La Caoba,15-Jan-07,,,,,,x
2430,14335,X-,BANA,AHY,,La Caoba,18-Feb-07,,,,,,x
2430,14133,X-,BANA,HY,,La Cueva,21-Nov-06,,,,,,x
2430,14135,X-,BANA,AHY,,La Cueva,21-Nov-06,,,,,,x
2430,14141,X-,BANA,AHY,,La Cueva,22-Nov-06,,,,,,x
2430,14149,X-,BANA,HY,,La Cueva,23-Nov-06,,,,,,x
2430,14151,X-,BANA,HY,,La Cueva,23-Nov-06,,,,,,x
