# Mencia pasture succession bird captures 2004-2005 Dominican Republic,,,,,,,,,,,,,
"# Original file received from Steve Latta via email 12/2017 ""2004-05 All Captures.xls""",,,,,,,,,,,,,
"# See additional file ""All Mencia B.xls"" for information on site persistance ",,,,,,,,,,,,,
# Files processed by Nathan Brouwer in R for re-submission of manuscript 1/15/2018,,,,,,,,,,,,,
"#""NOTES"" columns contains ""DIED"" ""MITES"" and also numbers; not sure what numbers are",,,,,,,,,,,,,
BAND PRE,BAND SUF,COLORS,SPECIES,AGE,SEX,SITE,DATE,WING,TARSUS,MASS,FAT,PEC,NOTES
2280,33290,XY-YR,BTBW,AHY,F,El Corral A,20-Feb-05,58.5,17.3,8,0,0,
2250,78447,XY-RY,BTBW,HY,F,El Corral,20-Nov-04,60,19.1,10,0,2,
2250,78447,XY-RY,BTBW,HY,F,El Corral,22-Nov-04,,,,,,
2250,78447,XY-RY,BTBW,HY,F,El Corral,18-Jan-05,60,19.1,12.7,0,0,
2250,78447,XY-RY,BTBW,HY,F,El Corral,17-Feb-05,60,19.3,8.7,0,1,
2250,78448,BX-YY,BTBW,HY,F,El Corral,21-Nov-04,62,19.2,9,0,2,
2250,78448,BX-YY,BTBW,HY,F,El Corral,19-Jan-05,62,19.2,8.7,0,1,
2250,78448,BX-YY,BTBW,HY,F,El Corral,18-Feb-05,62,19.3,8.2,0,2,
2250,78449,XY-WB,BTBW,AHY,M,El Corral,21-Nov-04,65.5,19.4,9.5,0,1,
2250,78457,YW-WX,BTBW,AHY,F,El Corral A,23-Nov-04,63,18.1,8.7,0,0,
2250,78457,YW-WX,BTBW,AHY,F,El Corral A,19-Feb-05,63,18.2,8.9,0,0,
2250,78458,WR-WX,BTBW,AHY,M,El Corral A,23-Nov-04,61.5,18.4,8.9,0,0,
2250,78458,WR-WX,BTBW,AHY,M,El Corral A,20-Jan-05,61.5,18.4,8.6,0,1,
2250,78458,WR-WX,BTBW,AHY,M,El Corral A,18-Feb-05,62,18.6,8.8,0,1,
2250,78459,XY-WW,BTBW,AHY,M,El Corral A,23-Nov-04,62.5,18,9.1,0,1,
2250,78463,BX-YB,BTBW,HY,F,El Corral A,23-Nov-04,59.5,18.2,9.5,0,2,
2250,78463,BX-YB,BTBW,HY,F,El Corral A,20-Jan-05,50,18.2,9.4,0,0,
