"spp.code","band","colors","age","sex","site","date.cap.orig","nov.96","jan.97","mar.97","nov.97","jan.98","mar.98","jan.99","jan.00","jan.01","jan.02","jan.03","comments","data.cap.orig2","status.focals","spp","status2","hab1","diet","sub.site"
"BANA","2110-55404","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","629","X-","AHY",NA,"Aceitillar","26-Jan-96","","","","","","","","C","","","","",1996-01-26,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55405","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81086","X-","AHY",NA,"Aceitillar","1-Feb-97","","","","","","","","","C","","","",1997-02-01,"res","Bananaquit","R","EF","N","B1"
"BANA","26982","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55408","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","C","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81092","x-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","26984","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","620","X-","AHY",NA,"Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-70","X-","AHY",NA,"Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-73","X-","AHY",NA,"Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,"res","Bananaquit","R","EF","N","B2"
"BANA","2110-55401","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55402","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","628","X-","AHY",NA,"Aceitillar","26-Jan-96","","","","","","","","C","","","","",1996-01-26,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55412","X-","AHY",NA,"Aceitillar","3-Feb-97","","","","","","","","","C","C","","",1997-02-03,"res","Bananaquit","R","EF","N","B1"
"BANA","26979","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55413","X-","AHY",NA,"Aceitillar","3-Feb-97","","","","","","","","","C","","","",1997-02-03,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55407","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","C","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81095","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","26983","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81100","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81094","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55403","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81096","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-97","X-","AHY",NA,"Aceitillar","23-Jan-96","","","","","","","","C","","","","",1996-01-23,"res","Bananaquit","R","EF","N","B2"
"BANA","607","X-","AHY",NA,"Aceitillar","23-Jan-96","","","","","","","","C","","","","",1996-01-23,"res","Bananaquit","R","EF","N","B2"
"BANA","26981","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","605","X-","HY",NA,"Aceitillar","23-Jan-96","","","","","","","","C","","","","",1996-01-23,"res","Bananaquit","R","EF","N","B2"
"BANA","2110-81079","X-","AHY",NA,"Aceitillar","30-Jan-97","","","","","","","","","C","","","",1997-01-30,"res","Bananaquit","R","EF","N","B2"
"BANA","26986","X-","HY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-87","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-88","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","26985","X-","HY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-96","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-76","X-","AHY",NA,"Aceitillar","29-Jan-95","","","","","","","C","","","","","",1995-01-29,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-77","X-","AHY",NA,"Aceitillar","29-Jan-95","","","","","","","C","","","","","",1995-01-29,"res","Bananaquit","R","EF","N","B2"
"BANA","2110-55411","X-","AHY",NA,"Aceitillar","3-Feb-97","","","","","","","","","C","C","","",1997-02-03,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-92","X-","AHY",NA,"Aceitillar","22-Jan-96","","","","","","","","C","","","","",1996-01-22,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-94","X-","AHY",NA,"Aceitillar","22-Jan-96","","","","","","","","C","","","","",1996-01-22,"res","Bananaquit","R","EF","N","B2"
"BANA","2110-55409","X-","AHY",NA,"Aceitillar","3-Feb-97","","","","","","","","","C","","","",1997-02-03,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-68","X-","AHY",NA,"Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-98","X-","HY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55410","X-","AHY",NA,"Aceitillar","3-Feb-97","","","","","","","","","C","","","",1997-02-03,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-00","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-95","X-","HY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-93","X-","HY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BAWW","1760-22680","XY-GG","HY","F","Aceitillar","21-Jan-94","","","","","C","","","","","","","W",1994-01-21,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","375","PP-XP","AHY","F","Aceitillar","13-Nov-92","C","S","","","","","","","","","","",1992-11-13,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","2390-24331","XP-RB","HY","F","Aceitillar","5-Mar-93","","","C","","","","","","","","","W",1993-03-05,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","390","XB-YY","AHY","M","Aceitillar","15-Nov-92","C","C","","CS","","CS","","","","","","",1992-11-15,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","2390-24333","XP-YY","AHY","F","Aceitillar","5-Mar-93","","","C","","","","","","","","","W",1993-03-05,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","2390-24335","BR-XB","AHY","F","Aceitillar","5-Mar-93","","","C","S","","","","","","","","",1993-03-05,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","1760-22659","RX-RG","AHY","F","Aceitillar","15-Jan-94","","","","","CS","S","","","","","","",1994-01-15,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","1760-22679","RG-XY","HY","F","Aceitillar","21-Jan-94","","","","","C","","","","","","","W",1994-01-21,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2390-24347","BY-XB","AHY","M","Aceitillar","10-Mar-93","","","C","","","","","","","","","W",1993-03-10,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","400","YR-XR","HY","F","Aceitillar","18-Nov-92","C","","","","","","","","","","","W",1992-11-18,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2140-20710","X-","HY","M","Aceitillar","25-Jan-96","","","","","","","","C","","","","W",1996-01-25,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","1950-82563","GR-GX","HY","M","Aceitillar","9-Nov-93","","","","C","","S","","","","","","",1993-11-09,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","1950-82800","GX-YR","AHY","F","Aceitillar","2-Mar-94","","","","","","CS","","","","","","",1994-03-02,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2140-20708","X-","HY","M","Aceitillar","25-Jan-96","","","","","","","","C","","","","W",1996-01-25,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2390-24061","XB-YB","HY","M","Aceitillar","24-Jan-93","","C","","C","CS","S","","","","","","",1993-01-24,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2200-16433","X-","HY","F","Aceitillar","31-Jan-97","","","","","","","","","C","","","W",1997-01-31,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","1950-82044","XP-BB","HY","F","Aceitillar","19-Nov-92","C","","","C","C","","","","","","","",1992-11-19,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","1950-82567","GX-YA","AHY","F","Aceitillar","9-Nov-93","","","","C","CS","","","","","","","",1993-11-09,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","386","XB-RR","HY","F","Aceitillar","14-Nov-92","C","","S","","","S","","","","","","",1992-11-14,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","2390-24338","RX-PP","AHY","M","Aceitillar","9-Mar-93","","","CS","","","","S","","","","","",1993-03-09,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2200-16444","X-","AHY","M","Aceitillar","2-Feb-97","","","","","","","","","C","C","","",1997-02-02,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","1760-22546","XG-RA","HY","M","Aceitillar","8-Mar-94","","","","","","C","","","","","","W",1994-03-08,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","2390-24342","YR-XY","AHY","F","Aceitillar","9-Mar-93","","","C","","","","","","","","","W",1993-03-09,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","1760-22661","YY-GX","HY","F","Aceitillar","16-Jan-94","","","","","C","","","","","","","W",1994-01-16,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","1950-82048","XR-PY","AHY","M","Aceitillar","20-Nov-92","C","","","","","S","","","","","","",1992-11-20,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2390-24058","XY-YB","HY","M","Aceitillar","24-Jan-93","","CS","","","C","","S","","","","","",1993-01-24,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","1950-82040","XR-PP","HY","M","Aceitillar","19-Nov-92","C","","","","","","","","","","","W",1992-11-19,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","1950-82033","XR-RY","AHY","M","Aceitillar","19-Nov-92","C","CS","CS","S","C","S","","","","","","",1992-11-19,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","1950-82575","XA-RR","HY","F","Aceitillar","11-Nov-93","","","","C","","S","","","","","","res. In P2",1993-11-11,"mig","Black-and-white Warbler","M","EF","I","B1"
"BAWW","2390-24035","XB-BR","HY","M","Aceitillar","19-Jan-93","","C","CS","","S","","","","","","","",1993-01-19,"mig","Black-and-white Warbler","M","EF","I","B2"
"BAWW","1760-22664","AG-XY","AHY","F","Aceitillar","16-Jan-94","","","","","C","S","","","","","","",1994-01-16,"mig","Black-and-white Warbler","M","EF","I","B2"
