# Aceitillar data for Mencia pasture succesion manuscript,,,,,,,,,,,,,,,,,,
"# Original file ""Aceitillar 96_02 for Mencia.xls"" from SL via email",,,,,,,,,,,,,,,,,,
"# Original file had 3 worksheets: ""Returned migr"", ""Site persistent migr"" and ""All caps""",,,,,,,,,,,,,,,,,,
#,"Note: original worksheets with ""_migr"" included residents and migrants",,,,,,,,,,,,,,,,,
"# ""Site persistent birds are there for some portion of at least 1 winter – so they were resighted or recaptured at least once.""",,,,,,,,,,,,,,,,,,
"# ""Returned birds are a **subset** of the **site persistent birds** that returned a **subsequent** year.",,,,,,,,,,,,,,,,,,
# All caps is all captures.,,,,,,,,,,,,,,,,,,
"# C = captured (including orig capture); S = re_sighted, CS = captured & resighted in same session; W in comments = NEVER resighted/recaptured after original capture",,,,,,,,,,,,,,,,,,
# W = wanderers,,,,,,,,,,,,,,,,,,
#,,,,,,,Nov,Jan,Mar,Nov,Jan,Mar,Jan,Jan,Jan,Jan,Jan,
#,,,,,,CAP,96,97,97,97,98,98,99,0,1,2,3,
BAND,COLORS,SPECIES,AGE,SEX,SITE,DATA.CAP.ORIG,Nov.96,Jan.97,Mar.97,Nov.97,Jan.98,Mar.98,Jan.99,Jan.00,Jan.01,Jan.02,Jan.03,COMMENTS
4_3929,PB-XP,BCPT,HY,,B1,11_21_1996,C,,,,,,C,C,,,,
4_3052,RX-PB,BCPT,HY,,B2,1_20_1997,,C,,,,,,,,,,
4_3053,PX-PY,BCPT,HY,,B2,1_20_1997,,C,C,,,,,,,,,
4_3054,XR-BR,BCPT,HY,,B2,1_21_1997,,CS,,,,,,,,,,
4_3061,XB-YB,BCPT,HY,,B1,1_25_1997,,C,,,,,,,,,,
4_4754,YR-XP,BCPT,HY,,B2,3_6_1997,,,C,,S,S,,,,,,
4_4760,BX-YR,BCPT,HY,,B1,3_11_1997,,,C,,,,S,,,,,
4_4761,BY-RX,BCPT,HY,,B1,3_11_1997,,,C,,,,,,,,,
4_4762,PB-RX,BCPT,HY,,B1,3_12_1997,,,C,,,S,,,,,,
4_4925,XY-GA,BCPT,HY,,B2,11_9_1997,,,,C,,,,,,,,
4_4928,YR-XA,BCPT,HY,,B2,11_10_1997,,,,CS,,,,,,,,
4_4930,RY-GX,BCPT,HY,,B2,11_11_1997,,,,CS,S,,,,,,,
4_4934,RA-(R)X,BCPT,HY,,B1,11_12_1997,,,,C,,C,,,,,,
4_4966,AY-XA,BCPT,HY,,B2,1_16_1998,,,,,C,,,,,,,
4_4967,GX-GA,BCPT,HY,,B2,1_18_1998,,,,,C,,,,,,,
4_4968,AR-XY,BCPT,HY,,B1,1_21_1998,,,,,C,,S,,,,,
4_4970,AX-Y(R),BCPT,HY,,B1,1_21_1998,,,,,C,S,S,,,,,
4_4971,GY-XA,BCPT,HY,,B1,1_22_1998,,,,,C,,S,,,,,
4_4972,YR-XG,BCPT,HY,,B1,1_22_1998,,,,,C,,,,,,,
4_4973,AY-XG,BCPT,HY,,B1,1_22_1998,,,,,C,S,,,,,,
4_4514,GR-XR,BCPT,HY,,B1,3_4_1998,,,,,,C,,,,,,
4_4519,GY-RX,BCPT,HY,,B2,3_9_1998,,,,,,C,,,,,,
4_4540,WW-XR,BCPT,HY,,B1,1_17_1999,,,,,,,C,,,,,
4_4542,RX-GW,BCPT,HY,,B1,1_18_1999,,,,,,,C,,,,,
4_4543,WX-GR,BCPT,HY,,B1,1_18_1999,,,,,,,C,,,S,,S in nest study
4_4544,XW-YY,BCPT,HY,,B1,1_18_1999,,,,,,,C,C,,,,
4_4545,GG-XW,BCPT,HY,,B1,1_19_1999,,,,,,,C,,,,,
4_4546,WX-WY,BCPT,HY,,B1,1_19_1999,,,,,,,C,,,,,
4_4547,RX-WR,BCPT,HY,,B1,1_19_1999,,,,,,,C,,,,,
4_4568,WX-YR,BCPT,HY,,B2,1_28_1999,,,,,,,C,,,,,
4_4569,WX-RY,BCPT,HY,,B2,1_28_1999,,,,,,,C,,,,,
4_4570,YX-WR,BCPT,HY,,B2,1_29_1999,,,,,,,C,,,,,
4_4571,YW-RX,BCPT,HY,,B2,1_29_1999,,,,,,,C,,C,,S,S in nest study
4_4572,YX-WY,BCPT,HY,,B2,1_29_1999,,,,,,,C,,,,,
4_4573,WR-RX,BCPT,HY,,B2,1_29_1999,,,,,,,C,,,,,
4_4574,YW-WX,BCPT,HY,,B2,1_29_1999,,,,,,,C,,,,,
4_4578,XY-WR,BCPT,HY,,B2,1_30_1999,,,,,,,C,,,,,
4_4584,BA-XR,BCPT,HY,,B2,1_24_2000,,,,,,,,C,,,,
4_4586,RB-AX,BCPT,HY,,B2,1_24_2000,,,,,,,,C,,,,
4_4588,BA-RX,BCPT,HY,,B2,1_24_2000,,,,,,,,C,,,,mites
4_4589,AR-YX,BCPT,HY,,B2,1_24_2000,,,,,,,,C,,,,
4_4590,RY-AX,BCPT,HY,,B2,1_24_2000,,,,,,,,C,,,,
4_4591,AB-XR,BCPT,HY,,B1,1_26_2000,,,,,,,,C,C,,,
4_4592,YY-RX,BCPT,HY,,B1,1_26_2000,,,,,,,,C,,,,
4_4593,AA-YX,BCPT,HY,,B1,1_26_2000,,,,,,,,C,,,,
4_4595,AX-RY,BCPT,HY,,B1,1_26_2000,,,,,,,,C,,,,
4_4598,BY-AX,BCPT,HY,,B1,1_27_2000,,,,,,,,C,,,,
4_4848,BX-BY,BCPT,HY,,B2,2_1_2001,,,,,,,,,C,,,
4_4849,YX-YB,BCPT,HY,,B2,2_1_2001,,,,,,,,,C,,,
4_4835,YB-YX,BCPT,HY,,B1,2_2_2001,,,,,,,,,C,,,winged
4_4840,XR-PP,BCPT,HY,,B1,2_2_2001,,,,,,,,,C,,,
4_4841,PX-PB,BCPT,HY,,B1,2_2_2001,,,,,,,,,C,,,
4_4842,RX-RR,BCPT,HY,,B2,2_2_2001,,,,,,,,,C,,,
4_4845,YX-YY,BCPT,HY,,B2,2_2_2001,,,,,,,,,C,,,
4_4826,PX-RB,BCPT,HY,,B1,2_4_2001,,,,,,,,,C,,,
4_4827,X-,BCPT,HY,,B1,2_4_2001,,,,,,,,,C,,,
4_3917,XP-YR,BCPT,,,B2,11_15_1996,C,,,,,,,,C,,,was BX-PP
4_3918,XP-YP,BCPT,,,B2,11_15_1996,C,,,,,,,,,,,
4_3919,(R)X-YY,BCPT,,,B2,11_15_1996,CS,,S,S,S,S,C,,,,,
4_3920,RX-BR,BCPT,,,B2,11_15_1996,C,,,,,,,,,,,
4_3921,PX-PR,BCPT,,,B2,11_15_1996,C,,,,,,,,,,,
4_3922,X-G,BCPT,,,B1,11_20_1996,CC,,,,,,,,,,,
4_4829,YP-YX,BCPT ,AHY,,B1,2_3_2001,,,,,,,,,C,,,
616,X-,BFGR,AHY,M,B1,1_26_2000,,,,,,,,C,,,,
2_6866,X-,BFGR,,F,B2,1_29_1999,,,,,,,C,,,,,
376,R(P)-XP,BTBW,AHY,F,B2,11_14_1996,CS,S,S,S,CS,S,,,,,,
382,PX-YY,BTBW,AHY,F,B2,11_15_1996,CS,CS,CS,CS,S,S,S,,,C,,
2390_24043,BY-XP,BTBW,AHY,M,B1,1_24_1997,,CS,,,,,,,,,,
2390_24320,XP-BP,BTBW,AHY,F,B2,3_5_1997,,,C,,,,,,,,,W
2390_24330,PR-XP,BTBW,AHY,F,B2,3_6_1997,,,C,,,,,,,,,W
2390_24329,PR-RX,BTBW,AHY,M,B2,3_6_1997,,,C,,,,,,,,,W
2390_24341,XB-RP,BTBW,AHY,M,B1,3_10_1997,,,C,,,,,,,,,W
1760_22671,YA-XY,BTBW,AHY,F,B1,1_21_1998,,,,,C,,,,,,,W
2110_80983,RX-GA,BTBW,AHY,M,B1,3_3_1998,,,,,,C,,,,,,W
1760_22541,GR-XY,BTBW,AHY,M,B1,3_5_1998,,,,,,C,,,,,,W
2200_16432,X-,BTBW,AHY,F,B2,2_1_2001,,,,,,,,,C,,,W
380,YX-RY,BTBW,HY,F,B2,11_14_1996,C,C,,,,,S,,,,,
383,RX-RP,BTBW,HY,F,B2,11_15_1996,C,S,,S,CS,S,,,,,,
1950_82016,PX-YR,BTBW,HY,M,B1,11_20_1996,CC,C,,,,,,,,,,
1950_82019,BR-BX,BTBW,HY,M,B1,11_20_1996,C,S,S,S,C,,,,,,,
1950_82050,RX-YR,BTBW,HY,M,B1,11_21_1996,C,C,,,,,,,,,,
2390_24034,XY-BY,BTBW,HY,M,B2,1_19_1997,,CS,,,,,,,,,,
2390_24045,XY-PY,BTBW,HY,F,B1,1_24_1997,,C,C,,,,,,,,,
2390_24053,BX-RR,BTBW,HY,M,B1,1_25_1997,,C,,,,,,,,,,W
2390_24324,XP-YY,BTBW,HY,F,B2,3_5_1997,,,C,,,,,,,,,W
2390_24319,YP-XB,BTBW,HY,M,B2,3_5_1997,,,C,,,,,,,,,W
2390_24323,BP-RX,BTBW,HY,M,B2,3_5_1997,,,C,,,,,,,,,W
2390_24339,RX-YP,BTBW,HY,F,B1,3_10_1997,,,C,,,,,,,,,W
2390_24344,PY-XY,BTBW,HY,M,B1,3_11_1997,,,C,,,,,,,,,W
1950_82559,AY-GX,BTBW,HY,F,B2,11_10_1997,,,,C,,,,,,,,W
1950_82571,AY-AX,BTBW,HY,M,B2,11_11_1997,,,,C,,,,,,,,W
1760_22674,RX-GY,BTBW,HY,M,B1,1_22_1998,,,,,CS,CS,S,,,,,
1760_22538,AX-AY,BTBW,HY,M,B1,3_4_1998,,,,,,CS,,,,,,
2140_19008,WW-XY,BTBW,HY,M,B1,1_19_1999,,,,,,,C,,C,,,
2140_20631,WX-RW,BTBW,HY,M,B2,1_29_1999,,,,,,,C,,,,,W
2140_20703,X-,BTBW,HY,M,B2,1_24_2000,,,,,,,,C,,,,W
2200_16437,X-,BTBW,HY,F,B2,2_1_2001,,,,,,,,,C,,,W
2200_16441,X-,BTBW,HY,M,B1,2_2_2001,,,,,,,,,C,,,W
910_60015,X-C,BWVI,AHY,,B2,3_6_1997,,,C,,,,,,,,,
910_60016,XB-YR,BWVI,AHY,,B1,3_11_1997,,,CS,,,,,,,,,
910_60017,RX-PP,BWVI,AHY,,B1,3_11_1997,,,C,,,,,,,,,
910_60082,GX-YA,BWVI,AHY,,B2,1_17_1998,,,,,C,,,,,,,
910_60083,AR-YX,BWVI,AHY,,B2,1_17_1998,,,,,C,,,,,,,
2121_29205,X-,BWVI,AHY,,B1,3_4_1998,,,,,,C,,,,,,
2121_29206,X-,BWVI,AHY,,B1,3_4_1998,,,,,,C,,,,,,
910_60099,X-,BWVI,AHY,,B1,3_4_1998,,,,,,C,,,,,,
910_60100,X-,BWVI,AHY,,B1,3_4_1998,,,,,,C,,,,,,
2121_29207,X-,BWVI,AHY,,B1,3_5_1998,,,,,,C,,,,,,
2121_29208,X-,BWVI,AHY,,B2,3_9_1998,,,,,,C,,,,,,
36901,X-,BWVI,AHY,,B1,1_17_1999,,,,,,,C,,,,,
910_60012,X-R,BWVI,HY,,B2,1_20_1997,,C,,,,,,,,,,
2121_29233,BX-RA,BWVI,,,B2,1_23_2000,,,,,,,,C,,,,
972_18918,X-,CGDO,AHY,M,B2,1_29_1999,,,,,,,C,,,,,
972_18921,X-,CGDO,,F,B1,1_26_2000,,,,,,,,C,,,,
972_18922,X-,CGDO,,M,B1,1_26_2000,,,,,,,,C,,,,
972_18946,X-,CGDO,,M,B2,1_31_2001,,,,,,,,,C,,,
972_18947,X-,CGDO,,M,B2,2_2_2001,,,,,,,,,C,,,
972_18919,X-,CGOO,AHY,M,B2,1_30_1999,,,,,,,C,,,,,
396,XP-YP,CMWA,AHY,M,B1,11_19_1996,C,,,,,,,,,,,W
1950_82018,XP-RY,CMWA,AHY,M,B1,11_20_1996,CS,S,S,S,,,,,,,,
1950_82025,XR-BY,CMWA,AHY,M,B1,11_20_1996,CC,,,,,,,,,,,
1950_82028,RY-XY,CMWA,AHY,M,B1,11_20_1996,C,,,,,,,,,,,W
1950_82051,RB-XP,CMWA,AHY,F,B1,11_21_1996,CS,,,,,,,,,,,
2390_24047,XR-BR,CMWA,AHY,M,B1,1_24_1997,,C,,,,,,,,,,W
2390_24059,XY-RP,CMWA,AHY,M,B1,1_25_1997,,C,,,,,,,,,,W
2390_24336,XY-RR,CMWA,AHY,M,B2,3_6_1997,,,C,,,,,,,,,W
1950_82555,XY-AY,CMWA,AHY,M,B2,11_9_1997,,,,C,,,,,,,,W
1950_82560,XA-GG,CMWA,AHY,F,B2,11_10_1997,,,,C,,,,,,,,W
1950_82565,YR-XA,CMWA,AHY,F,B2,11_10_1997,,,,C,,S,,,,,,
1950_82566,XY-YA,CMWA,AHY,F,B2,11_10_1997,,,,C,,,,,,,,W
1950_82561,XA-YY,CMWA,AHY,M,B2,11_10_1997,,,,C,,,,,,,,W
1950_82578,GY-RX,CMWA,AHY,F,B1,11_12_1997,,,,C,,,,,,,,W
1950_82576,XA-RR,CMWA,AHY,M,B1,11_12_1997,,,,C,,,,,,,,W
1760_22665,GX-YY,CMWA,AHY,M,B2,1_17_1998,,,,,C,,,,,,,W
1760_22666,YX-YA,CMWA,AHY,M,B2,1_17_1998,,,,,C,,,,,,,W
1760_22670,GA-XG,CMWA,AHY,M,B1,1_21_1998,,,,,CS,S,S,,,,,
1760_22672,XY-AG,CMWA,AHY,M,B1,1_21_1998,,,,,C,,,,,,,W
1760_22677,YG-XY,CMWA,AHY,F,B1,1_22_1998,,,,,C,S,S,,,,,
2110_80982,YX-GA,CMWA,AHY,M,B1,3_3_1998,,,,,,CS,S,,,,,
1760_22539,XY-RA,CMWA,AHY,F,B1,3_4_1998,,,,,,C,,,,,,W
1760_22540,AX-YR,CMWA,AHY,F,B1,3_4_1998,,,,,,CS,,,,,,
1760_22542,XR-RA,CMWA,AHY,M,B1,3_5_1998,,,,,,C,,,,,,W
1760_22543,YR-AX,CMWA,AHY,M,B2,3_9_1998,,,,,,C,,,,,,W
2140_19003,XY-WW,CMWA,AHY,F,B1,1_17_1999,,,,,,,C,,,,,W
2140_19007,XR-WW,CMWA,AHY,F,B1,1_18_1999,,,,,,,C,,,,,W
2140_20705,X-,CMWA,AHY,M,B1,1_25_2000,,,,,,,,C,,,,W
2140_20707,X-,CMWA,AHY,M,B1,1_26_2000,,,,,,,,C,,,,W
2140_20709,X-,CMWA,AHY,M,B1,1_26_2000,,,,,,,,C,,,,W
2200_16436,X-,CMWA,AHY,F,B2,2_1_2001,,,,,,,,,C,,,W
2200_16439,X-,CMWA,AHY,M,B1,2_2_2001,,,,,,,,,C,,,W
2200_16440,X-,CMWA,AHY,M,B1,2_2_2001,,,,,,,,,C,,,W
2200_16446,X-,CMWA,AHY,M,B1,2_3_2001,,,,,,,,,C,,,W
385,XP-RR,CMWA,HY,F,B2,11_15_1996,CS,,,,,,,,,,,
392,XY-YR,CMWA,HY,F,B1,11_19_1996,CS,CS,S,,,,,,,,,
1950_82027,XY-RB,CMWA,HY,F,B1,11_20_1996,CC,,,,,,,,,,,
1950_82035,XP-PP,CMWA,HY,F,B1,11_20_1996,C,C,,CS,,,,,,,,
1950_82037,RP-XB,CMWA,HY,F,B1,11_20_1996,CS,,,,,,,,,,,
1950_82020,BR-XR,CMWA,HY,M,B1,11_20_1996,CS,,,,,,,,,,,
1950_82030,PY-XP,CMWA,HY,M,B1,11_20_1996,C,,,S,,,,C,,,,
1950_82032,XB-YY,CMWA,HY,M,B1,11_20_1996,C,,,,,,,,,,,W
1950_82036,XP-PB,CMWA,HY,M,B1,11_20_1996,CS,S,,S,S,S,,,,,,
1950_82052,XB-RB,CMWA,HY,F,B1,11_21_1996,C,,,,,,,,,,,W
1950_82053,XP-BP,CMWA,HY,F,B1,11_21_1996,C,,,,,,,,,,,W
2390_24036,BP-XY,CMWA,HY,M,B2,1_20_1997,,CS,,S,,S,,,,,,
2390_24040,YB-XP,CMWA,HY,M,B1,1_24_1997,,C,,,,,,,,,,W
2390_24056,RX-PR,CMWA,HY,F,B1,1_25_1997,,CS,S,,,,,,,,,
2390_24049,YR-XY,CMWA,HY,M,B1,1_25_1997,,C,S,,,,,,,,,
2390_24340,XB-PP,CMWA,HY,F,B1,3_10_1997,,,C,,,,,,,,,W
1950_82554,XG-YY,CMWA,HY,F,B2,11_9_1997,,,,C,,,,,,,,W
1950_82557,XA-AG,CMWA,HY,F,B2,11_9_1997,,,,C,,,,,,,,W
1950_82553,AX-AG,CMWA,HY,M,B2,11_9_1997,,,,C,,,,,,,,W
1950_82556,XY-GR,CMWA,HY,M,B2,11_9_1997,,,,CC,,,,,,,,
1950_82569,XG-GY,CMWA,HY,F,B2,11_10_1997,,,,C,,,,,,,,W
1950_82564,XY-RG,CMWA,HY,M,B2,11_10_1997,,,,C,,,,,,,,W
1950_82568,GX-YG,CMWA,HY,M,B2,11_10_1997,,,,C,,,,,,,,W
1950_82570,AR-AX,CMWA,HY,M,B2,11_11_1997,,,,C,,,,,,,,W
1950_82572,GY-AX,CMWA,HY,M,B2,11_11_1997,,,,C,,,,,,,,W
1950_82577,XG-GR,CMWA,HY,F,B1,11_12_1997,,,,C,,,,,,,,W
1760_22663,YG-XA,CMWA,HY,F,B2,1_17_1998,,,,,CS,,,,,,,
1760_22668,YA-XG,CMWA,HY,F,B2,1_18_1998,,,,,C,,,,,,,W
1760_22678,AY-XA,CMWA,HY,F,B1,1_22_1998,,,,,C,,,,,,,W
1760_22683,YX-GY,CMWA,HY,F,B1,1_23_1998,,,,,C,,S,,,,,
2110_80984,RX-GY,CMWA,HY,M,B1,3_3_1998,,,,,,CS,S,,,,,
1760_22544,GX-GY,CMWA,HY,F,B2,3_9_1998,,,,,,C,,,,,,W
1760_22545,YG-XR,CMWA,HY,M,B2,3_9_1998,,,,,,C,,,,,,W
2140_19002,YY-XW,CMWA,HY,M,B1,1_17_1999,,,,,,,C,,,,,W
2140_19004,XY-WR,CMWA,HY,M,B1,1_17_1999,,,,,,,C,,,,,W
2140_20626,WX-WR,CMWA,HY,F,B2,1_28_1999,,,,,,,C,,,,,W
2140_20630,WX-RW,CMWA,HY,F,B2,1_29_1999,,,,,,,C,,,,,W
2140_20632,WR-XR,CMWA,HY,F,B2,1_29_1999,,,,,,,C,,,,,W
2140_20633,WY-XW,CMWA,HY,F,B2,1_30_1999,,,,,,,C,,,,,W
2140_20706,X-,CMWA,HY,F,B1,1_26_2000,,,,,,,,C,,,,W
2140_20711,X-,CMWA,HY,M,B1,1_27_2000,,,,,,,,C,,,,W
2200_16428,X-,CMWA,HY,M,B2,1_31_2001,,,,,,,,,C,,,W
2200_16429,X-,CMWA,HY,M,B2,1_31_2001,,,,,,,,,C,,,W
2200_16430,X-,CMWA,HY,M,B2,1_31_2001,,,,,,,,,C,,,W
2200_16435,X-,CMWA,HY,M,B2,2_1_2001,,,,,,,,,C,,,W
2200_16438,X-,CMWA,HY,M,B1,2_2_2001,,,,,,,,,C,,,W
2200_16442,X-,CMWA,HY,F,B1,2_3_2001,,,,,,,,,C,,,W
2200_16443,X-,CMWA,HY,M,B1,2_3_2001,,,,,,,,,C,,,W
2390_24348,XB-RY,COYE,AHY,M,B1,3_12_1997,,,C,,,,,,,,,
1511_43408,X-R,GABU,AHY,F,B2,11_14_1996,C,S,C,,,,,,,,,
1511_43405,BB-XB,GABU,AHY,M,B2,11_14_1996,C,CS,,,S,C,,,,,,
1511_43409,X-B,GABU,AHY,M,B2,11_15_1996,CC,C,,C,,,,,,,,
1511_43412,Y-X,GABU,AHY,M,B2,11_15_1996,C,C,,,S,C,,,,,,
1511_43413,X(R-R)Y,GABU,AHY,M,B2,11_15_1996,C,,,,,,C,,,,,
1511_43411,X-W,GABU,AHY,,B2,11_15_1996,C,,,,,,,,,,,
1511_43414,X-G,GABU,AHY,,B2,11_15_1996,C,,,,,,,,,,,
1511_43415,PB-XB,GABU,AHY,,B2,11_16_1996,C,,,,,,,,,,,
1511_43421,X-Y,GABU,AHY,M,B1,11_19_1996,C,,C,,,,,,,,,
1511_43420,X-R,GABU,AHY,,B1,11_19_1996,C,,,,,,,,,,,
1511_43429,X-,GABU,AHY,F,B1,11_20_1996,C,,C,,,,,,,,,
1511_43436,X-,GABU,AHY,F,B1,11_20_1996,C,C,,,,,,,,,,
1511_43425,B-X,GABU,AHY,M,B1,11_20_1996,C,,,C,,,C,,,,,
1511_43427,X-B,GABU,AHY,M,B1,11_20_1996,C,C,,C,,,,,,,,
1511_43434,X-,GABU,AHY,M,B1,11_20_1996,C,,,,C,,,C,,,,
1511_43422,X-,GABU,AHY,,B1,11_20_1996,CC,C,,,,,,,,,,
1511_43426,X-B/W,GABU,AHY,,B1,11_20_1996,C,,,,,,,,,,,
1511_43432,X-,GABU,AHY,,B1,11_20_1996,C,,,,,,,,,,,
1511_43437,X-,GABU,AHY,,B1,11_20_1996,C,,,,,,,,,,,
1511_43439,X-,GABU,AHY,,B1,11_20_1996,C,,,C,,,,,,,,
1511_43441,X-,GABU,AHY,M,B1,11_21_1996,C,,,,,C,,,,,,
1591_44004,X-,GABU,AHY,M,B2,1_19_1997,,CC,,,,,,,,,,
1591_44015,X-,GABU,AHY,M,B2,1_20_1997,,C,,,,,,,,,,
1591_44019,X-,GABU,AHY,M,B2,1_20_1997,,C,,,C,,,,,,,
1591_44013,X-,GABU,AHY,,B2,1_20_1997,,C,,,,,,,,,,
1591_44022,X-,GABU,AHY,,B2,1_20_1997,,C,,,C,,,,,,,
1591_44030,X-,GABU,AHY,M,B2,1_21_1997,,C,,,,,,,,,,
1591_44026,X-,GABU,AHY,,B2,1_21_1997,,C,,,,,,,,,,
1591_44034,X-,GABU,AHY,F,B1,1_24_1997,,C,,,,,,,,,,
1591_44037,X-,GABU,AHY,M,B1,1_24_1997,,C,,,,,,,,,,
1591_44043,X-,GABU,AHY,M,B1,1_25_1997,,C,,,,,,,,,,
1591_44047,X-,GABU,AHY,M,B1,1_25_1997,,C,,,,,,,,,,
1591_44051,X-,GABU,AHY,M,B1,1_25_1997,,C,,,,,,,,,,
1591_43827,X-,GABU,AHY,M,B2,3_5_1997,,,CC,,,,,,,,,
1591_43831,X-,GABU,AHY,M,B2,3_5_1997,,,C,,,,,,,,,
1591_43832,X-,GABU,AHY,M,B2,3_5_1997,,,C,,,,,,,,,
1591_43833,X-,GABU,AHY,M,B2,3_5_1997,,,C,,,,,,,,,
1591_43834,X-,GABU,AHY,M,B2,3_5_1997,,,C,,,,,,,,,
1591_43835,X-,GABU,AHY,M,B2,3_5_1997,,,C,,,,,,C,,,
1591_43837,X-,GABU,AHY,F,B2,3_6_1997,,,C,,,,,,,,,
1591_43838,X-,GABU,AHY,F,B2,3_6_1997,,,C,,,,,,,,,
1591_43849,X-,GABU,AHY,F,B2,3_6_1997,,,C,,,,,,,,,
1591_43840,X-,GABU,AHY,M,B2,3_6_1997,,,C,,,,,,,,,
1591_43841,X-,GABU,AHY,M,B2,3_6_1997,,,C,,,,,,,,,
1591_43843,X-,GABU,AHY,M,B2,3_6_1997,,,C,,,,,,,,,
1591_43852,X-,GABU,AHY,M,B2,3_6_1997,,,C,,,C,,,,,,
1591_43855,X-,GABU,AHY,F,B2,3_7_1997,,,C,,,,,,,,,
1591_43857,X-,GABU,AHY,F,B2,3_7_1997,,,C,,,,,,,,,
1591_43858,X-,GABU,AHY,M,B2,3_7_1997,,,C,,,,,,,,,
1591_43859,X-,GABU,AHY,M,B2,3_7_1997,,,C,,,,,,,,,
1591_43860,X-,GABU,AHY,F,B1,3_10_1997,,,C,,,,,,,,,
1591_43863,X-,GABU,AHY,F,B1,3_10_1997,,,C,,,,,,,,,
1591_43864,X-,GABU,AHY,F,B1,3_10_1997,,,C,,,,,,,,,
1591_43865,X-,GABU,AHY,F,B1,3_10_1997,,,C,,,,,,,,,
1591_43867,X-,GABU,AHY,F,B1,3_10_1997,,,C,,,,,,,,,
1591_43868,X-,GABU,AHY,F,B1,3_10_1997,,,C,,,,,,,,,
1591_43869,X-,GABU,AHY,F,B1,3_10_1997,,,C,,,,,,,,,
1591_43861,X-,GABU,AHY,M,B1,3_10_1997,,,C,,,,,,,,,
1591_43871,X-,GABU,AHY,F,B1,3_11_1997,,,C,,,,,,,,,
1591_43877,X-,GABU,AHY,F,B1,3_11_1997,,,C,,,,,,,,,
1591_43878,X-,GABU,AHY,F,B1,3_11_1997,,,C,,,,,,,,,
1591_43872,X-,GABU,AHY,M,B1,3_11_1997,,,C,,,,,,,,,
1591_43881,X-,GABU,AHY,F,B1,3_12_1997,,,C,,,,,,,,,
1591_43880,X-,GABU,AHY,M,B1,3_12_1997,,,C,,,,,,,,,
1591_43882,X-,GABU,AHY,M,B1,3_12_1997,,,C,,,,,,,,,
1591_43936,X-,GABU,AHY,F,B2,11_9_1997,,,,C,,,,,,,,
1591_43942,X-,GABU,AHY,F,B2,11_9_1997,,,,C,,C,,,,,,
1591_43935,X-,GABU,AHY,M,B2,11_9_1997,,,,C,C,C,,,,,,
1591_43940,X-,GABU,AHY,M,B2,11_9_1997,,,,C,,,,,,,,
1591_43944,X-,GABU,AHY,F,B2,11_10_1997,,,,C,,,,,,,,
1591_43945,X-,GABU,AHY,F,B2,11_10_1997,,,,C,,,,,,,,
1591_43946,X-,GABU,AHY,F,B2,11_10_1997,,,,C,,,,,,,,
1591_43948,X-,GABU,AHY,F,B2,11_10_1997,,,,C,,,,,,,,
1591_43950,X-,GABU,AHY,F,B2,11_10_1997,,,,C,,,,,,,,
1591_43949,X-,GABU,AHY,M,B2,11_10_1997,,,,C,,,,,,,,
1591_43951,X-,GABU,AHY,M,B2,11_10_1997,,,,C,,,,,,,,
1591_43952,X-,GABU,AHY,M,B2,11_10_1997,,,,C,,,,,,,,
1591_43955,X-,GABU,AHY,M,B2,11_10_1997,,,,C,,,,,,,,
1591_43947,X-,GABU,AHY,,B2,11_10_1997,,,,C,,,,,,,,
1591_43966,X-,GABU,AHY,F,B1,11_11_1997,,,,C,,,C,,,,,
1591_43959,X-,GABU,AHY,F,B2,11_11_1997,,,,C,,,,,,,,
981_31270,X-,GABU,AHY,M,B1,11_11_1997,,,,C,,,,,,,,
1591_43956,X-,GABU,AHY,M,B2,11_11_1997,,,,C,,,,,,,,
1591_43957,X-,GABU,AHY,M,B2,11_11_1997,,,,C,,,,,,,,
1591_43958,X-,GABU,AHY,M,B2,11_11_1997,,,,C,,,,,,,,
1591_43961,X-,GABU,AHY,M,B2,11_11_1997,,,,C,,,,,,,,
1591_43967,X-,GABU,AHY,F,B1,11_12_1997,,,,C,,,,,,,,
1591_43970,X-,GABU,AHY,F,B1,11_12_1997,,,,C,,,,,,,,
1591_43975,X-,GABU,AHY,F,B1,11_12_1997,,,,C,,,,,,,,
1591_43968,X-,GABU,AHY,M,B1,11_12_1997,,,,C,,,,,,,,
1591_43971,X-,GABU,AHY,M,B1,11_12_1997,,,,C,,,,,,,,
1591_43976,X-,GABU,AHY,F,B1,11_13_1997,,,,C,,,,,,,,
1521_02555,X-,GABU,AHY,F,B2,1_16_1998,,,,,C,,,,,,,
1521_02563,X-,GABU,AHY,F,B2,1_17_1998,,,,,C,,,,,,,
1521_02566,X-,GABU,AHY,F,B2,1_17_1998,,,,,C,,,,,,,
1521_02574,X-,GABU,AHY,F,B2,1_17_1998,,,,,C,,,,,,,
1521_02576,X-,GABU,AHY,F,B2,1_17_1998,,,,,C,,,,,,,
1521_02561,X-,GABU,AHY,M,B2,1_17_1998,,,,,C,,,,,,,
1521_02564,X-,GABU,AHY,M,B2,1_17_1998,,,,,C,,,,,,,
1521_02569,X-,GABU,AHY,M,B2,1_17_1998,,,,,C,,,,,,,
1521_02578,X-,GABU,AHY,F,B2,1_18_1998,,,,,C,,,,,,,
1521_02577,X-,GABU,AHY,M,B2,1_18_1998,,,,,C,,,,,,,
